CardImageURLs:	
combatinkowloon/1_000_corpses_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/1000%20corpses.jpg
combatinkowloon/18_bronze_men_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/18%20bronze%20men.jpg
combatinkowloon/back_for_seconds_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/back%20for%20seconds.jpg
combatinkowloon/bamboo_cane_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/bamboo%20cane.jpg
combatinkowloon/battle_suit_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/battle%20suit.jpg
combatinkowloon/big_ass_car_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/big%20ass%20car.jpg
combatinkowloon/bite_of_the_jellyfish_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/bite%20of%20the%20jellyfish.jpg
combatinkowloon/bite_of_the_long_teeth_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/bite%20of%20the%20long%20teeth.jpg
combatinkowloon/blade_palm_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/blade%20palm.jpg
combatinkowloon/blue_monk_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/blue%20monk.jpg
combatinkowloon/breath_of_the_dragon_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/breath%20of%20the%20dragon.jpg
combatinkowloon/bribery_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/bribery.jpg
combatinkowloon/buddhist_monk_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/buddhist%20monk.jpg
combatinkowloon/bull_market_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/bull%20market.jpg
combatinkowloon/butterfly_swords_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/butterfly%20swords.jpg
combatinkowloon/car_wash_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/car%20wash.jpg
combatinkowloon/cataract_gorge_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/cataract%20gorge.jpg
combatinkowloon/cb_radio_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/cb%20radio.jpg
combatinkowloon/chinese_connection_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/chinese%20connection.jpg
combatinkowloon/chop_shop_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/chop%20shop.jpg
combatinkowloon/city_center_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/city%20center.jpg
combatinkowloon/city_park_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/city%20park.jpg
combatinkowloon/confucian_stability_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/confucian%20stability.jpg
combatinkowloon/cries_in_the_night_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/cries%20in%20the%20night.jpg
combatinkowloon/desolate_ridge_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/desolate%20ridge.jpg
combatinkowloon/diamond_beach_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/diamond%20beach.jpg
combatinkowloon/die_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/die.jpg
combatinkowloon/dirk_wisely's_gambit_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/dirk%20wiselys%20gambit.jpg
combatinkowloon/discerning_fire_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/discerning%20fire.jpg
combatinkowloon/dockyard_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/dockyard.jpg
combatinkowloon/dr._amanda_snow_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/dr%20amanda%20snow.jpg
combatinkowloon/dragon_graveyard_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/dragon%20graveyard.jpg
combatinkowloon/eater_of_fortune_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/eater%20of%20fortune.jpg
combatinkowloon/everything_falls_apart_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/everything%20falls%20apart.jpg
combatinkowloon/feeding_the_hungry_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/feeding%20the%20hungry.jpg
combatinkowloon/final_brawl_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/final%20brawl.jpg
combatinkowloon/fireworks_factory_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/fireworks%20factory.jpg
combatinkowloon/forgotten_shrine_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/forgotten%20shrine.jpg
combatinkowloon/forgotten_temple_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/forgotten%20temple.jpg
combatinkowloon/fox_on_the_run_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/fox%20on%20the%20run.jpg
combatinkowloon/gambling_house_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/gambling%20house.jpg
combatinkowloon/general_red_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/Promos/general%20red.jpg
combatinkowloon/grease_monkey_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/grease%20monkey.jpg
combatinkowloon/grey_mountain_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/grey%20mountain.jpg
combatinkowloon/healing_earth_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/healing%20earth.jpg
combatinkowloon/heat_of_battle_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/heat%20of%20battle.jpg
combatinkowloon/hover_tank_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/hover%20tank.jpg
combatinkowloon/humble_dojo_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/humble%20dojo.jpg
combatinkowloon/hungry_ghosts_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/hungry%20ghosts.jpg
combatinkowloon/imp_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/imp.jpg
combatinkowloon/imperial_champion_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/imperial%20champion.jpg
combatinkowloon/inauspicious_return_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/inauspicious%20return.jpg
combatinkowloon/inspector_will_zhurong_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/inspector%20will%20zhurong.jpg
combatinkowloon/iron_and_silk_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/iron%20and%20silk.jpg
combatinkowloon/jade_dragon_monk_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/jade%20dragon%20monk.jpg
combatinkowloon/junkyard_boys_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/junkyard%20boys.jpg
combatinkowloon/killing_rain_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/killing%20rain.jpg
combatinkowloon/kung_fu_master_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/kung%20fu%20master.jpg
combatinkowloon/life_in_the_fast_lane_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/life%20in%20the%20fast%20lane.jpg
combatinkowloon/lightning_patrol_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/lightning%20patrol.jpg
combatinkowloon/long_black_hearse_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/long%20black%20hearse.jpg
combatinkowloon/long_shadows_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/long%20shadows.jpg
combatinkowloon/mantis_fighter_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/mantis%20fighter.jpg
combatinkowloon/manufactured_island_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/manufactured%20island.jpg
combatinkowloon/masked_man_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/Promos/masked%20man.jpg
combatinkowloon/master_hao_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/master%20hao.jpg
combatinkowloon/master_mechanic_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/master%20mechanic.jpg
combatinkowloon/maverick_trucker_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/maverick%20trucker.jpg
combatinkowloon/maze_of_stairs_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/maze%20of%20stairs.jpg
combatinkowloon/medicinal_flower_garden_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/medicinal%20flower%20garden.jpg
combatinkowloon/mirrored_lake_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/mirrored%20lake.jpg
combatinkowloon/mobius_gardens_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/mobius%20gardens.jpg
combatinkowloon/monkey_chang_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/monkey%20chang.jpg
combatinkowloon/moonlight_raid_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/moonlight%20raid.jpg
combatinkowloon/murder_of_crows_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/murder%20of%20crows.jpg
combatinkowloon/muscle_car_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/muscle%20car.jpg
combatinkowloon/never_found_the_body_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/never%20found%20the%20body.jpg
combatinkowloon/never_surrender_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/never%20surrender.jpg
combatinkowloon/night_moves_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/night%20moves.jpg
combatinkowloon/nine_dragon_temple_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/nine%20dragon%20temple.jpg
combatinkowloon/operation_killdeer_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/operation%20killdeer.jpg
combatinkowloon/plain_white_panel_van_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/plain%20white%20panel%20van.jpg
combatinkowloon/po_toi_islands_cik_400.jpg	http://www.shadowfist.com/card_gallery/card%20images/400%20px/CIK/po%20toi%20islands.jpg
