Name	Set	ImageFile	Type	Faction	Subtitle	Cost	Requires	Provides	Fighting	Power	Body	Rarity	Designators	Text	Script
Now You've Made Us Mad	10kbullets	now_youve_made_us_mad_10kb	Event	Dragons	Event	0	{dra}{dra}					Fixed	now youve made us mad	Gain 1 Power for each damaged Character you control.	
Abominable Lab	10kbullets	abominable_lab_10kb	Site	Architects of the Flesh	Site	2		{arc}		1	5	Fixed	abominable lab	Abominable Lab provides one {tek} resource for each <Buro> Character and each <PubOrd> Character you control.	
Alabaster Javelin	10kbullets	alabaster_javelin_10kb	State	Magic	State	1	{mag}					Fixed	alabaster javelin	Weapon. When subject Character is smoked, you may inflict 3 damage on any target.	
Amulet of the Turtle	10kbullets	amulet_of_the_turtle_10kb	State	Magic	State	0	{mag}					Fixed	amulet turtle	Play on a Character. Redirect all damage inflicted on subject to this card. Smoke Amulet of the Turtle when it accumulates X damage; any damage in excess of X is immediately inflicted on subject. X= the number of {mag} resources in your pool.	
Arcane Scientist	10kbullets	arcane_scientist_10kb	Character	Purists	Initiate of Paradox	2		{pur}{mag}	2			Fixed	arcane scientist initiate paradox	Turn to draw a card during your Main Shot.	
Arcanotank	10kbullets	arcanotank_10kb	State	Architects of the Flesh	State	3	{arc}					Fixed	arcano tank	Vehicle. Subject Character gains +3 Fighting and Toughness: 1. Turn Arcanotank to inflict 1 damage on all Characters at Arcanotank's location.	
Assault Squad	10kbullets	assault_squad_10kb	Character	Architects of the Flesh	BuroMil Soldiers	2		{arc}	2			Fixed	assault squad buro mil soldier	Play at no cost when an opponent declares an attack with 2 or more Characters on a card you control. If you do so, this card must intercept the attack.	
Avenging Thunder	10kbullets	avenging_thunder_10kb	Event	Four Monarchs	Event	0	{mon}					Fixed	avenging thunder	One-Shot. Play in response to an opponent seizing or burning-for-victory a Site you control. Choose a Character that damaged that Site this turn :: Gain power equal to that Character’s cost and toast that Character.	
Bag Full of Guns	10kbullets	bag_full_of_guns_10kb	State	Dragons	State	2	{dra}{dra}					Fixed	bag full gun	Weapon. Turn to give +2 damage until the end of the turn to all Characters you control at subject Character's location.	
Big Brother Tsien	10kbullets	big_brother_tsien_10kb	Character	Eaters of the Lotus	Demon Hood	2		{lot}	2			Fixed	big brother tsien demon hood	Unique. Once per turn, you may pay 1 Power to give Big Brother Tsien +3 Fighting until the end of the turn.	
Bird Sanctuary	10kbullets	bird_sanctuary_10kb	Site	Feng Shui Site	Feng Shui Site					1	6	Fixed	bird sanctuary	Limited. Cannot be healed except when seized. Once each turn, you may inflict 1 damage on this card when an opponent smokes a Character you control that is not a 1-cost foundation :: Gain 1 Power.	
Birdhouse Cafe	10kbullets	birdhouse_cafe_10kb	Site	Feng Shui Site	Feng Shui Site					1	7	Fixed	birdhouse cafe	At the end of your turn, if any opponent is at least as close to victory as you are, unturn all Characters that attacked during the turn.	
Blade of Darkness	10kbullets	blade_of_darkness_10kb	Character	Four Monarchs	Netherworld Killer	4	{mon}{mon}	{mon}	6			Fixed	blade darkness netherworld killer	When Blade of Darkness smokes an interceptor by inflicting combat damage, gain Power equal to the number of resources that interceptor provides.	
Blade Palm	10kbullets	blade_palm_10kb	Event	Chi	Event	2	{chi}{chi}					Fixed	blade palm	Return target card to its owner's hand.	
Bleys Fontaine	10kbullets	bleys_fontaine_10kb	Character	Ascended	Lodge Enforcer	4	{asc}{asc}{asc}	{asc}	6			Fixed	bleys fontaine lodge enforcer	Unique. Cannot be declared as a single attacker. Once during your Main Shot, you may target a location :: All cards at that location become turned.	
Blood Reaver	10kbullets	blood_reaver_10kb	Character	Architects of the Flesh	Killer Abomination	2	{arc}{arc}{arc}	{arc}	3			Fixed	blood reaver killer abomination	Takes no damage from the target of its attack.	
Blue Monk	10kbullets	blue_monk_10kb	Character	Guiding Hand	Kung Fu Infiltrator	3	{han}	{han}{chi}	4			Fixed	blue monk kung fu infiltrator	Choose a designator when Blue Monk enters play. Blue Monk cannot be intercepted by Characters with the chosen designator.	
Bomb Factory	10kbullets	bomb_factory_10kb	Site	Jammers	Site	2		{jam}{tek}		1	5	Fixed	bomb factory	Turn and maintain to give target Character +1 damage to Sites.	
Both Guns Blazing	10kbullets	both_guns_blazing_10kb	State	Dragons	State	0	{dra}					Fixed	both gun blazing	Subject Character gains +1 Fighting for each Weapon on it. Draw a card when you play a Weapon on subject. No Character may be the subject of more than one "Both Guns Blazing".	
Brain Fire	10kbullets	brain_fire_10kb	Event	Four Monarchs	Event	0	{mon}{mon}					Fixed	brain fire	Play in response to an Event. Choose an equal number of new and different legal targets for that Event :: These targets replace the original targets of that Event.	
Bull Market	10kbullets	bull_market_10kb	Event	Ascended	Event	0	{asc}{asc}{asc}					Fixed	bull market	Limited. Every player gains 5 Power.	
Bulletproof Monk	10kbullets	bulletproof_monk_10kb	Character	Guiding Hand	Martial Artist	3	{han}{han}	{han}{chi}	4			Fixed	bulletproof monk martial artist	Toughness: 1 while attacking.	
Buro Godhammer	10kbullets	buro_godhammer_10kb	State	Architects of the Flesh	State	1	{arc}					Fixed	buro godhammer	Weapon. Subject Character inflicts +3 damage.	
Butterfly Knight	10kbullets	butterfly_knight_10kb	Character	Four Monarchs	Thunder Warrior	3	{mon}	{mon}	3			Fixed	butterfly knight thunder warrior	If unturned, Butterfly Knight may attack without turning once during your Main Shot.	
Captain Liu	10kbullets	captain_liu_10kb	Character	Ascended	Pledged Cop Mastermind	5	{asc}{asc}{asc}	{asc}	8			Fixed	captain liu pledged cop mastermind	Unique. Tactics. All <Cop> Characters you control gain Toughness: 1.	
Cave Network	10kbullets	cave_network_10kb	Site	Feng Shui Site	Feng Shui Site					1	6	Fixed	cave network	In response to an attack declared against Cave Network, if you controlled no characters at the time the attack was declared, turn :: play a Character with a cost of three or less at no cost.	
CDCA Scientist	10kbullets	cdca_scientist_10kb	Character	Architects of the Flesh	Overzealous Researcher	2		{arc}{tek}	2			Fixed	cdca scientist overzealous researcher	When CDCA Scientist is smoked, you may draw up to X cards, then discard up to X cards. You need not discard the same number that you draw. X= the number of "CDCA Scientist" cards you control plus the number in your smoked pile.	
CHAR	10kbullets	char_10kb	Character	Architects of the Flesh	BuroMil Cyborg	4	{arc}{tek}	{arc}{tek}	6			Fixed	char buro mil cyborg	CHAR's combat damage cannot be reduced or redirected. CHAR takes no damage from <Fire> cards.	
City Hospital	10kbullets	city_hospital_10kb	Site	Feng Shui Site	Feng Shui Site					1	8	Fixed	city hospital	Turn to remove 1 damage from a Character. Unturn this card when a Character you control is smoked.	
City Park	10kbullets	city_park_10kb	Site	Feng Shui Site	Feng Shui Site					1	8	Fixed	city park	Heal City Park at the end of the turn it is revealed. When a Site you control is burned, you may play City Park face up at no cost if you have not played a Site this turn.	
City Square	10kbullets	city_square_10kb	Site	Feng Shui Site	Feng Shui Site					1	6	Fixed	city square	Unique. Turn to redirect the damage inflicted by a single source on target Site to any Site you control.	
Claw of Fury	10kbullets	claw_of_fury_10kb	Character	Eaters of the Lotus	Shadowy Assassin	2		{lot}	2			Fixed	claw fury shadowy assassin	Assassinate. When an opponent targets you (not a card or location you control) with an Event, you may play Claw of Fury from your hand at no cost.	
Claws of Darkness	10kbullets	claws_of_darkness_10kb	State	Four Monarchs	Triumvirate State	1	{mon}					Fixed	claw darkness triumvirate	Weapon. Subject Character gains +1 Fighting. If subject is still in play at the end of any turn in which it smoked one or more Characters by inflicting combat damage, you gain 1 Power.	
Close Call	10kbullets	close_call_10kb	Event	Jammers	Event	1	{jam}{jam}					Fixed	close call	Redirect up to 3 damage from a single source that would damage a Character to a Site controlled by that source's controller.	
Cognitive Spirit	10kbullets	cognitive_spirit_10kb	Character	Purists	Self-Aware Construct	3	{pur}{pur}	{pur}{mag}	4			Fixed	cognitive spirit self aware construct	Select a Character when this card attacks :: That Character may not intercept until the end of the attack.	
Confucian Stability	10kbullets	confucian_stability_10kb	Event	Guiding Hand	Event	1	{han}					Fixed	confucian stability	Play in response to an Event or State :: Cancel and smoke that card.	
Curio Shop	10kbullets	curio_shop_10kb	Site	Feng Shui Site	Feng Shui Site					1	7	Fixed	curio shop	Takes no damage from opponents' cards that have a cost of 1.	
Dallas Rocket	10kbullets	dallas_rocket_10kb	Character	Jammers	Fanatic Guerrilla	3	{jam}	{jam}	3			Fixed	dallas rocket fanatic guerrilla	Ambush against <PubOrd> or <Buro> Characters. Dallas Rocket inflicts +3 damage on the target of her attack.	
Dangerous Experiment	10kbullets	dangerous_experiment_10kb	Event	Architects of the Flesh	Event	0	{arc}{arc}{arc}{arc}					Fixed	dangerous experiment	Limited. Toast It. You gain 5 Power, and the opponent to your left may toast a card you control, a card in your smoked pile, or a card in your burned-for-victory pile.	
Darkness Warriors	10kbullets	darkness_warriors_10kb	Character	Four Monarchs	Netherworld Soldiers	2		{mon}	2			Fixed	darkness warrior netherworld soldier	Sacrifice to gain 1 Power.	
Death-O-Rama	10kbullets	deathorama_10kb	Event	Jammers	Event	0	{jam}{jam}					Fixed	death o rama	Play during an attack. All Characters inflict +2 damage on Characters during the attack.	
Derek Han	10kbullets	derek_han_10kb	Character	Guiding Hand	Martial Artist	6	{han}{han}{han}	{han}{chi}	11			Fixed	derek han martial artist	Unique. Pay 1 Power to give him Superleap until the end of the turn. Pay 2 Power :: He is not affected by Events until the end of the turn.	
Die!!!	10kbullets	die_10kb	Event	Eaters of the Lotus	Event	0	{lot}{lot}{lot}					Fixed	die	Turn X {lot} Characters you control to smoke any number of opponents' Characters whose total cost is less than X+2. (X may be zero.)	
Dirk Wisely's Gambit	10kbullets	dirk_wiselys_gambit_10kb	Event	Dragons	Event	0	{dra}	{dra}{tek}				Fixed	dirk wisely gambit	Limited. Play when you declare an attack with only one attacker against a target controlled by an opponent who controls at least four cards. When your attacker inflicts combat damage on its target during this attack, gain 2 Power.	
Discerning Fire	10kbullets	discerning_fire_10kb	Event	Magic	Event	X	{mag}{mag}					Fixed	discerning fire	Smoke X target cards that share a designator other than <Netherworld>. X must be greater than one. Power-generating Sites are not legal targets.	
Drug Lab	10kbullets	drug_lab_10kb	Site	Unaligned	Hood Site	1				1	6	Fixed	drug lab hood	Limited. Smoke Drug Lab when it is damaged by a <Cop> card.	
Edge Warrior	10kbullets	edge_warrior_10kb	Character	Jammers	Subversive Op	1		{jam}	1			Fixed	warrior subversive op	Cannot be intercepted by <Buro>, <PubOrd>, or <Cop> characters.	
Entropy Sphere	10kbullets	entropy_sphere_10kb	Event	Purists	Event	1	{pur}{pur}					Fixed	entropy sphere	Smoke target Character and inflict X damage on a front-row Feng Shui Site you control. X= the target's cost.	
Entropy Tap	10kbullets	entropy_tap_10kb	Event	Purists	Event	0	{pur}{mag}					Fixed	entropy tap	Limited. Play when a Site you control takes combat damage but its Body is not reduced to 0 :: Gain X Power. X= half (round down) the damage inflicted.	
Everyday Hero	10kbullets	everyday_hero_10kb	Character	Dragons	Brave Scrapper	2		{dra}	2			Fixed	everyday hero brave scrapper	Guts.	
Ex-Commando	10kbullets	excommando_10kb	Character	Dragons	Dangerous Vet	3	{dra}{dra}	{dra}	3			Fixed	ex commando dangerous vet	Ex-Commando unturns when a Weapon or <Gun> State is played on him.	
Explosives	10kbullets	explosives_10kb	State	Unaligned	State	1						Fixed	explosives	Play on an unturned Character. Subject's controller may sacrifice Explosives during an attack :: Subject inflicts +5 damage against the next Site it inflicts combat damage on during this attack.	
Faked Death	10kbullets	faked_death_10kb	Event	Ascended	Event	0	{asc}					Fixed	faked death	Return a Character from your smoked pile to your hand.	
Family Estate	10kbullets	family_estate_10kb	Site	Ascended	Site	2		{asc}		1	5	Fixed	family estate	Turn to play a <Pledged> Character at -1 cost. When a <Lodge> Character is smoked, inflict 2 damage on Family Estate.	
Family Home	10kbullets	family_home_10kb	Site	Feng Shui Site	Feng Shui Site					1	5	Fixed	family home	Generates an additional Power if the player to your left has more Power than you.	
Father of Chaos	10kbullets	father_of_chaos_10kb	Character	Purists	Spirit of Destruction	6	{pur}{pur}{pur}{mag}	{pur}{mag}	11			Fixed	father chaos spirit destruction	Unique. Father of Chaos takes no combat damage from Characters whose Fighting is less than the number of cards in their controller's hand.	
Festival Circle	10kbullets	festival_circle_10kb	Site	Feng Shui Site	Feng Shui Site					1	6	Fixed	festival circle	Cannot be healed except when seized. If Festival Circle is in your front row, turn and inflict 2 damage on it in response to an Event that targets one or more Characters you control :: Cancel that Event.	
Field of Tentacles	10kbullets	field_of_tentacles_10kb	Site	Feng Shui Site	Netherworld Feng Shui Site					1	8	Fixed	field tentacle netherworld	Turn and maintain and target a non-Feng Shui Site :: Cancel target Site.	
Final Brawl	10kbullets	final_brawl_10kb	Event	Dragons	Event	0	{dra}					Fixed	final brawl	Inflict 2 damage on all Characters.	
Fire Acolytes	10kbullets	fire_acolytes_10kb	Character	Four Monarchs	Netherworld Disciples	1		{mon}{mag}	1			Fixed	fire acolyte netherworld disciple	When Fire Acolytes are smoked while you control another <Fire> Character, you may target a Character at their last location :: Inflict 1 non-combat damage on target Character.	
Fire Mystic	10kbullets	fire_mystic_10kb	Character	Four Monarchs	Netherworld Sorcerer	3	{mon}{mon}	{mon}{mag}	4			Fixed	fire mystic netherworld sorcerer	When an opponent plays an Event, you may inflict 1 damage on a card that player controls.	
Fireworks Factory	10kbullets	fireworks_factory_10kb	Site	Feng Shui Site	Feng Shui Site					1	7	Fixed	firework factory	When an opponent reduces Fireworks Factory's Body to 0, you may smoke a Character that opponent controls if he or she is now closer to victory than you.	
Floating Restaurant	10kbullets	floating_restaurant_10kb	Site	Feng Shui Site	Feng Shui Site					1	8	Fixed	floating restaurant	When an opponent plays an Event, you may remove 1 damage from any card you control.	
Flying Sleeves	10kbullets	flying_sleeves_10kb	Event	Eaters of the Lotus	Event	0	{lot}{lot}					Fixed	flying sleeve	Toast It. Change one attacker's target to any Character you control.	
Flying Sword Stance	10kbullets	flying_sword_stance_10kb	State	Chi	State	0	{chi}{chi}					Fixed	flying sword stance	Not cumulative. Subject Character gains +1 Fighting. Subject gains Superleap against Characters that lack resource conditions.	
Four Burning Fists	10kbullets	four_burning_fists_10kb	Character	Eaters of the Lotus	Demon Martial Artist	3	{lot}{lot}{lot}{mag}	{lot}	5			Fixed	four burning fist demon martial artist	Unique. You must toast a Feng Shui Site you control when Four Burning Fists enters play, otherwise toast this card. Gains +2 Fighting and Regenerate while any opponent is closer to victory than you.	
Fox Pass	10kbullets	fox_pass_10kb	Site	Feng Shui Site	Feng Shui Site					1	5	Fixed	fox pass	Unique. Turn to change one attacker's target to any Character or front-row Site you control.	
Furious George	10kbullets	furious_george_10kb	Character	Jammers	Flying Monkey	6	{jam}{jam}{jam}{tek}	{jam}{tek}	10			Fixed	furious george flying monkey	Unique. Guts. When Furious George enters combat, inflict 1 damage on each Character he is in combat with. (Before combat damage is dealt.)	
Gambling House	10kbullets	gambling_house_10kb	Site	Feng Shui Site	Feng Shui Site					1	6	Fixed	gambling house	Limited. If any opponent controls at least two cards that share a designator, you may turn this card during your Main Shot to gain 1 Power.	
Garden of Bronze	10kbullets	garden_of_bronze_10kb	Site	Feng Shui Site	Netherworld Feng Shui Site					1	8	Fixed	garden bronze netherworld	When an opponent burns one of your other Feng Shui Sites for Power, gain 3 Power.	
Genghis X	10kbullets	genghis_x_10kb	Character	Architects of the Flesh	BuroMil Supersoldier	5	{arc}{arc}{tek}	{arc}	8			Fixed	genghis x buro mil super soldier	Unique. Genghis X has Guts while there is at least three damage on him.	
Glimpse of the Abyss	10kbullets	glimpse_of_the_abyss_10kb	Event	Eaters of the Lotus	Event	0	{lot}{lot}{lot}					Fixed	glimpse abyss	Toast It. Gain X Power. X= the number of Feng Shui Sites controlled by target opponent plus the number of cards in his or her burned-for-victory pile. The number of Feng Shui Sites you need for victory is increased by one.	
Golden Candle Society	10kbullets	golden_candle_society_10kb	Character	Guiding Hand	Secret Society	1		{han}{chi}	1			Fixed	golden candle society secret		
Golden Comeback	10kbullets	golden_comeback_10kb	Event	Dragons	Event	2	{dra}					Fixed	golden comeback	Choose a Character in your smoked pile :: Return that Character to play.	
Golden Mile	10kbullets	golden_mile_10kb	Site	Feng Shui Site	Feng Shui Site					1	8	Fixed	golden mile	Limited. Turn when an opponent spends 3 or more Power at one time :: Gain 1 power.	
