Name	Set	ImageFile	Type	Faction	Subtitle	Cost	Requires	Provides	Fighting	Power	Body	Rarity	Designators	Text	Script
We Need Bigger Guns!	7masters	we_need_bigger_guns_7m	State	Jammers	State	0	{jam}		0	0	0	Common	we need bigger gun	All combat and non-combat damage subject Character inflicts is increased by 1.	
200 Guys With Hatchets and Ladders	7masters	200_guys_with_hatchets_and_ladders_7m	Edge	Ascended	Edge	2	{asc}{asc}		0	0	0	Uncommon	200 guy hatchet ladder	"Limited. Smoke all non-Unique Characters you control when this card leaves play. When an opponent plays a Unique Character, you may return up to X 1-cost Characters from your smoked pile to play. X= the Unique Character's cost."	
401k Squad	7masters	401k_squad_7m	Character	Jammers	Mutated Soldiers	4	{jam}{jam}	{jam}	6	0	0	Uncommon	401k squad mutated soldier	"Toughness: 1. When this card comes into play, discard a card. Target opponent must discard X cards at random. X= the cost of the card you discarded."	
Aerial Bombardment	7masters	aerial_bombardment_7m	Event	Architects of the Flesh	Event	1	{arc}		0	0	0	Common	aerial bombardment	"Inflict X damage, divided any way you choose, on Characters controlled by an opponent. You may not inflict more than 3 damage on any Character. X= the number of one type of resource in that player's pool."	
Ang Dao the Corrupt	7masters	ang_dao_the_corrupt_pr	Character	Eaters of the Lotus	Demon Warrior	4	{lot}{lot}	{lot}	6	0	0	Promo	ang dao corrupt demon warrior	Unique. Regenerate. When Ang Dao the Corrupt enters play you may move any Weapons onto him.	
Ape Nuts	7masters	ape_nuts_7m	Character	Jammers	Crazy Cyborg Monkeys	1		{jam}	1	0	0	Common	ape nut crazy cyborg monkey	"Takes no damage from Sites. If you attack, Ape Nuts must be declared as an attacker if possible."	
Arcanogardener	7masters	arcanogardener_7m	Character	Architects of the Flesh	CDCA Scientist	2	{arc}	{arc}{mag}{tek}	2	0	0	Common	arcano gardener cdca scientist	"When this card enters play, you may inflict one damage each on up to four Sites. Turn and maintain to give a Feng Shui Site you control +3 Body."	
Arcanoleech	7masters	arcanoleech_7m	State	Architects of the Flesh	State	1	{arc}{arc}{tek}		0	0	0	Uncommon	arcano leech	"Limited. Play on an opponent's front-row Feng Shui Site. When subject generates Power for an opponent, this card generates one Power for you."	
Balanced Harmonies	7masters	balanced_harmonies_7m	Edge	Seven Masters	Edge	2	{sev}{sev}		0	0	0	Uncommon	balanced harmony	"Limited. Turn to remove all damage from cards you control. Inflict an equal amount of damage, divided any way you choose, on your cards. This damage cannot be reduced or redirected. You cannot put enough damage on a card to equal or exceed its Fighting or Body."	
Baptism of Fire	7masters	baptism_of_fire_7m	State	Dragons	State	1	{dra}		0	0	0	Uncommon	baptism fire	Play on a Character when damage is inflicted on it. Subject gains +2 Fighting.	
Beneficent Tao	7masters	beneficent_tao_7m	Event	Seven Masters	Event	0	{sev}	{sev}	0	0	0	Common	beneficent tao	Heal target Feng Shui Site. You may Reload this card when the Body of a Site you control is reduced to 0.	
Blanket of Darkness	7masters	blanket_of_darkness_7m	Edge	Four Monarchs	Netherworld Edge	2	{mon}		0	0	0	Rare	blanket darkness netherworld	Unique. Turn and maintain to reduce the damage target Character inflicts by 3.	
Bloody Horde	7masters	bloody_horde_7m	Character	Eaters of the Lotus	Demon Trouble	3		{lot}	3	0	0	Common	bloody horde demon trouble	"Bloody Horde's Fighting is increased by the number of other <Demon> <Hordes> you control, plus the number of <Demon> <Hordes> in your smoked pile."	
Boundless Heaven Sword	7masters	boundless_heaven_sword_7m	State	Magic	State	6	{mag}{mag}		0	0	0	Rare	boundless heaven sword	"Unique. Weapon. This card's cost cannot be reduced, even when returning it to play. Subject Character gains +10 Fighting and its damage cannot be reduced or redirected. Turn to give subject Superleap until the end of the turn."	
Brain Tap Rifle	7masters	brain_tap_rifle_7m	State	Architects of the Flesh	State	1	{arc}{arc}{tek}		0	0	0	Common	brain tap rifle	Weapon. Play on a Character. Turn to inflict 1 damage on target Character. You may look at target's controller's hand or reveal a Site he or she controls.	
Buddha's Palm	7masters	buddhas_palm_7m	Event	Chi	Event	0	{chi}{chi}		0	0	0	Uncommon	buddha palm	Target a Character that is about to enter combat with a Character you control and toast the top X cards of your deck :: Inflict X damage on target. X= the number of {chi} resources in your pool.	
Buro Scientist	7masters	buro_scientist_7m	Character	Architects of the Flesh	Loyal Researcher	2	{arc}	{arc}{tek}	1	0	0	Uncommon	buro scientist loyal researcher	"Once per turn, when you play a {tek} Event or {tek} State, you may unturn a Character."	
Celestial Stance	7masters	celestial_stance_7m	State	Chi Magic	State	1	{chi}{mag}		0	0	0	Rare	celestial stance	Schtick. Subject Character gains Superleap. Pay 1 Power to inflict 2 damage on target Character at subject's location.	
Cenotaph	7masters	cenotaph_7m	Character	Eaters of the Lotus	Undead Assassin	3	{lot}{lot}{mag}	{lot}	X	0	0	Rare	cenotaph undead assassin	Unique. Assassinate. X= the number of Characters in your smoked pile.	
Chi Syphon	7masters	chi_syphon_7m	State	Purists	State	1	{pur}{pur}		0	0	0	Uncommon	chi syphon	"Play on a Feng Shui Site you control and choose an opponent's Feng Shui Site. Subject's rules text is considered to be blank, and it gains the rules text of the other Site."	
Cobra Clan Stalkers	7masters	cobra_clan_stalkers_7m	Character	Ascended	Transformed Animals	3	{asc}{asc}	{asc}	3	0	0	Common	cobra clan stalker transformed animal	Stealth. +2 damage while you have Power.	
Combat Courtship	7masters	combat_courtship_7m	Event	Four Monarchs	Event	1	{mon}		0	0	0	Uncommon	combat courtship	Faceoff. Turn a Character you control and target an opponent's Character with Fighting no lower than two less than yours. The winner gains Power equal to the number of resources provided by the loser's Character.	
Cry of the Forgotten Ancestor	7masters	cry_of_the_forgotten_ancestor_7m	Event	Ascended	Event	1	{asc}{asc}		0	0	0	Uncommon	cry forgotten ancestor	Cancel and smoke target {mag} card.	
Curtain of Fullness	7masters	curtain_of_fullness_7m	Event	Magic	Event	0	{mag}{mag}		0	0	0	Common	curtain fullness	Target player must discard three cards at random.	
Deep-Cover Rebels	7masters	deepcover_rebels_7m	Character	Jammers	Subversive Operatives	5	{jam}{jam}	{jam}	8	0	0	Uncommon	deep cover rebel subversive operative	You may attack back-row Sites. You may return a Character with a cost of 2 or less from your smoked pile to play when this card is smoked.	
Desolation	7masters	desolation_7m	Character	Eaters of the Lotus	Underworld Demon King	7	{lot}{lot}{lot}{lot}	{lot}{mag}{mag}	16	0	0	Rare	desolation underworld demon king	Unique. Uncopyable. Opponents cannot take control of Desolation. Any Event targeting this card costs 1 extra Power to play.	
Eight Pillars of Heaven Array	7masters	eight_pillars_of_heaven_array_7m	Event	Guiding Hand	Event	X	{han}{han}{chi}		0	0	0	Uncommon	eight pillar heaven array	Limited. Target X Characters you control that share a designator. Each Character gains +2 damage and Toughness: 1 until the end of the turn. X must be at least 2.	
Essence-Absorbing Stance	7masters	essenceabsorbing_stance_7m	State	Guiding Hand	Kung Fu State	1	{han}{han}		0	0	0	Uncommon	essence absorbing stance kung fu	Schtick. Turn to heal subject Character and inflict X damage to target Character that is about to enter combat with subject. X= the amount of damage healed.	
Evil Chanting	7masters	evil_chanting_7m	Event	Eaters of the Lotus	Event	1	{lot}{mag}{mag}		0	0	0	Common	evil chanting	"Either inflict 4 damage on target {sev} Character, or all {lot} Characters gain +2 damage until the end of the turn. Reload: Discard a non-Character {mag} card."	
Feast of Souls	7masters	feast_of_souls_7m	Edge	Eaters of the Lotus	Edge	4	{lot}		0	0	0	Rare	feast soul	"Gain 1 Power when a Character you control is smoked. When this card leaves play, the player to your left steals all your Power."	
Fighting Spirit	7masters	fighting_spirit_7m	Event	Dragons	Event	0	{dra}		0	0	0	Common	fighting spirit	"Toast It. Play when you have at least two {dra} Events in your smoked pile :: Select two of them at random. If they have the same title, toast them; otherwise, return them to your hand."	
Four Mountains Fist	7masters	four_mountains_fist_7m	State	Dragons	State	0	{dra}{dra}		0	0	0	Uncommon	four mountain fist	"Schtick. Subject Character gains +1 damage. When subject enters combat, you may choose to have it inflict no damage this combat. At the time it would have inflicted combat damage, instead inflict half that amount (round down) on all opponents' Characters at this location. (This is not combat damage.)"	
Geomantic Spirit	7masters	geomantic_spirit_7m	Character	Purists	Sorcerous Construct	5	{pur}{pur}{pur}{mag}	{pur}{mag}	6	0	0	Uncommon	geomantic spirit sorcerous construct	"When Geomantic Spirit enters play, you may return a Feng Shui Site from your smoked pile to play. (You cannot if you are one Site away from victory.)"	
Ghost Wind	7masters	ghost_wind_7m	Character	Seven Masters	Master of the Liquid Sword	4	{sev}{sev}	{sev}{chi}{mag}	6	0	0	Rare	ghost wind master liquid sword	"Unique. When you smoke an opponent's Character and Ghost Wind is not smoked at the same time, gain 1 Power. You cannot gain more than 2 Power per turn this way. May be played at no cost if an opponent controls 5 or more Characters."	
Glimpse of Brief Eternity	7masters	glimpse_of_brief_eternity_7m	Event	Purists	Event	0	{pur}{pur}		0	0	0	Uncommon	glimpse brief eternity	Target an opponent :: Reveal the top five cards of that player's deck. You may smoke one non-Site card that shares a designator with any of these cards. Put the revealed cards on the bottom of the deck in any order.	
Gold Lion	7masters	gold_lion_7m	Character	Seven Masters	Master of the Wah-Shan Clan	5	{sev}	{sev}{chi}{mag}	8	0	0	Rare	gold lion master wah shan clan	"Unique. Superleap against opponents who have Power in their pool. Once per turn, you may discard a card to heal X damage on him. X= the cost of the discarded card."	
