Name	Set	ImageFile	Type	Faction	Subtitle	Cost	Requires	Provides	Fighting	Power	Body	Rarity	Designators	Text	Script
Torch the Place!	backforseconds	torch_the_place_bfs_400	Event	Jammers	Event	1	{jam}{jam}					Fixed	torch place	Play during an attack against a Site :: Inflict X non-combat damage on that Site. X= the number of Characters attacking it.	
Armies of the Monarchs	backforseconds	armies_of_the_monarchs_bfs_400	Edge	Four Monarchs	Edge	2	{mon}{mon}					Fixed	army monarch	All Unique Characters gain -1 combat damage. All non-Unique Characters you control gain +1 combat damage.	
Armorer	backforseconds	armorer_bfs_400	Character	Four Monarchs	Netherworld Blacksmith	2		{mon}{mag}	2			Fixed	armorer netherworld blacksmith	Turn and maintain and target a Character :: Target gains +1 combat damage and Toughness 1.	
Avenging Fire	backforseconds	avenging_fire_bfs_400	State	Four Monarchs	State	0	{mon}					Fixed	avenging fire	Limited. When an opponent seizes or burns a Site you control, play this card on a Site controlled by that opponent. At the start of every turn, inflict 1 non-combat damage on each Character and Site at this location.	
Ba-BOOM!	backforseconds	ba-boom_bfs_400	Character	Jammers	Unstable Monkey	4	{jam}{jam}	{jam}{tek}	7			Fixed	ba boom unstable monkey	Unique. Uncopyable. When Ba-BOOM! is smoked by an opponent, smoke all Characters and toast Ba-BOOM!	
Billy Zed	backforseconds	billy_zed_bfs_400	Character	Jammers	Punk Rock Thrasher	4	{jam}{jam}{jam}	{jam}{tek}	6			Fixed	billy zed punk rock thrasher	Unique. Independent. Guts. +3 combat damage to Sites.	
Blood Lust	backforseconds	blood_lust_bfs_400	Event	Four Monarchs	Event	0	{mon}					Fixed	blood lust	Limited. Gain Power equal to the number of damaged Characters controlled by opponents.	
Bomb Factory	backforseconds	bomb_factory_bfs_400	Site	Jammers	Site	2		{jam}{tek}		1	5	Fixed	bomb factory	Turn and maintain and target a Character :: Target gains +1 combat damage to Sites.	
Booby-Trapped Tomb	backforseconds	booby-trapped_tomb_bfs_400	Site	Feng Shui Site	Feng Shui Site					1	8	Fixed	booby trapped tomb	When this Site is revealed, you may target a Character at this location :: Inflict 3 non-combat damage on target.	
Brain Fire	backforseconds	brain_fire_bfs_400	Event	Four Monarchs	Event	0	{mon}{mon}					Fixed	brain fire	Play in response to an Event. Choose an equal number of new and different legal targets for that Event :: These targets replace the original targets of that Event.	
Brass Monkey	backforseconds	brass_monkey_bfs_400	Character	Jammers	Simian Automaton	4	{jam}{jam}{tek}{tek}	{jam}{tek}	6			Fixed	brass monkey simian automaton	Brass Monkey cannot be intercepted unless the opponent pays one Power for each interceptor they declare against him. Reload: 2	
Chi Seeking Missile	backforseconds	chi_seeking_missile_bfs_400	Event	Jammers	Event	0	{jam}{jam}{jam}{tek}					Fixed	chi seeking missile	You may pay 1 Power when you play this card. Target a Feng Shui Site :: Reveal (if unrevealed), turn (if unturned) and cancel target until the end of the turn. If you paid Power when you played this card and the target is Unique, inflict 5 non-combat damage on it.	
City Center	backforseconds	city_center_bfs_400	Site	Feng Shui Site	Feng Shui Site					1	9	Fixed	city center	Immediately place a counter on this card when it is revealed. Remove the counter and target an attacking Character :: Target unturns and ceases attacking.	
Cocktail Waiters	backforseconds	cocktail_waiters_bfs_400	Character	Jammers	Pyromaniac Rabble	1	{jam}	{jam}	1			Fixed	cocktail waiter pyromaniac rabble	Characters you control inflict +1 combat damage on Sites.	
Curtis Graham	backforseconds	curtis_graham_bfs_400	Character	Jammers	Urban Revolutionary	2	{jam}	{jam}{tek}	1			Fixed	curtis graham urban revolutionary	Unique. Turn and target a site :: Inflict 3 non-combat damage on target.	
Desolate Ridge	backforseconds	desolate_ridge_bfs_400	Site	Feng Shui Site	Feng Shui Site					1	6	Fixed	desolate ridge	Limited. Turn in response to an Event and target a Site or Character controlled by the player who played that event :: Inflict 2 non-combat damage on target.	
Dockyard	backforseconds	dockyard_bfs_400	Site	Feng Shui Site	Feng Shui Site					1	6	Fixed	dockyard	When this card is revealed :: You may search your deck for a non-Unique Foundation Character, show it to your opponents and add it to your hand.	
Dump Scrounger	backforseconds	dump_scrounger_bfs_400	Character	Jammers	Netherworld Scavenger	2	{jam}	{jam}{tek}	2			Fixed	dump scrounger netherworld scavenger	Turn and toast a Character in your smoked pile :: Gain 1 Power.	
Earth, Wind and Fire	backforseconds	earth_wind_and_fire_bfs_400	Event	Four Monarchs	Event	3	{mon}{mon}					Fixed	earth wind fire	Heal all cards you control and target a Character :: Inflict X damage on target . X= the amount of damage healed.	
Electro-Gauntlet	backforseconds	electro-gauntlet_bfs_400	State	High Tech	State	0	{tek}					Fixed	electro gauntlet	Weapon. Play on a Character. This card enters play with 1 counter on it. At the start of your turn, put 1 counter on this card. Turn :: Put 1 counter on this card. Turn and remove X counters :: Subject gains +X combat damate until the end of the turn.	
Entropy is Your Friend	backforseconds	entropy_is_your_friend_bfs_400	Edge	Jammers	Edge	1	{jam}					Fixed	entropy is your friend	Limited. When you burn a Site, or when a Site you control is burned, place a counter on this card. Characters you control inflict +X combat damage to Sites. X= the number of counters on this card.	
Fakhir-al-Din	backforseconds	fakhir-al-din_bfs_400	Character	Four Monarchs	Fire Warlord	5	{mon}{mon}	{mon}{mag}	8			Fixed	fakhir al din fire warlord	Unique. Toughness 1 against damaged Characters. When Fakhir-al-Din enters play, inflict 2 non-combat damage on all other Characters.	
Feeding the Fires	backforseconds	feeding_the_fires_bfs_400	Edge	Four Monarchs	Edge	1	{mon}{mon}{mag}					Fixed	feeding fire	Limited. Place a counter on Feeding the Fires when an attack you declared or joined fails. While playing a <Fire> card, you may remove any number of these counters to reduce the Power paid by up to 2 per counter.	
