Name	Set	ImageFile	Type	Faction	Subtitle	Cost	Requires	Provides	Fighting	Power	Body	Rarity	Designators	Text	Script
Do You Feel Lucky, Punk?	boomchakalaka	do_you_feel_lucky_punk_bcl	Event	Jammers	Event	1	{jam}{jam}					Uncommon	you feel lucky punk	Flip a coin until you get a total of two Heads :: Inflict X damage on target Character. X= the number of flips minus 1.	
You Have Offended Shaolin!	boomchakalaka	you_have_offended_shaolin_bcl	Event	Guiding Hand	Event	1	{han}{han}					Common	you offended shaolin	Target Character gains Superleap until the end of the turn. When a Site you control is seized, you may return this card to your hand.	
Big Ass Car	boomchakalaka	big_ass_car_bcl	State	Dragons	Gas-Guzzling State	1	{dra}{dra}					Common	big ass car gas guzzling	Vehicle. Subject Character gains +1 Fighting. Turn to give subject Mobility and Toughness: 1 until the end of the turn.	
Big Daddy Voodoo	boomchakalaka	big_daddy_voodoo_bcl	Character	Magic	Hood Sorcerer	4		{mag}	5			Rare	big daddy voodoo hood sorcerer	Unique. Once each turn, you may spend damage counters on him as if they were Power while playing <Hood> cards.	
Big Rig	boomchakalaka	big_rig_bcl	State	Unaligned	Truck State	1						Common	big rig truck	Vehicle. Subject Character gains Mobility. Redirect damage inflicted on subject to Big Rig. When Big Rig has 4 damage counters on it, immediately smoke it and inflict all excess damage on subject.	
Billy Chow	boomchakalaka	billy_chow_bcl	Character	Guiding Hand	Undercover Shaolin	6	{han}{han}{han}{han}	{han}{chi}	8			Rare	billy chow undercover shaolin	Unique. Superleap. You may cancel an Event by discarding a {chi} card with a cost equal to that of the Event.	
Binary Spirit	boomchakalaka	binary_spirit_bcl	Character	Purists	Duality Construct	2	{pur}{mag}	{pur}{mag}	2			Common	binary spirit duality construct	Once each Main Shot, you may either inflict 1 damage, which cannot be reduced or redirected, on Binary Spirit to draw a card, or discard a card to heal 1 damage from Binary Spirit.	
Brick House	boomchakalaka	brick_house_bcl	State	Dragons	State	0	{dra}{dra}{dra}					Common	brick house	Subject Character gains Toughness: 1.	
Buffalo Soldier	boomchakalaka	buffalo_soldier_bcl	Character	Jammers	Rasta Rebel	2	{jam}	{jam}	2			Uncommon	buffalo soldier rasta rebel	+3 damage against <Buro> Characters. Other Characters you control with a cost of 2 or less are not affected by opponents' Events.	
Burn, Baby, Burn!	boomchakalaka	burn_baby_burn_bcl	Edge	Jammers	Edge	2	{jam}					Uncommon	burn baby	Limited. At the end of your turn, inflict 1 damage on each damaged Site.	
Car Wash	boomchakalaka	car_wash_bcl	Site	Unaligned	Site	2				1	7	Uncommon	car wash	Turn to heal a Character that is the subject of a Vehicle.	
CB Radio	boomchakalaka	cb_radio_bcl	State	Dragons	State	0	{dra}{dra}					Uncommon	cb radio	Schtick. Play on a Character. All Characters you control gain Tactics. Once per turn you may unturn subject when it uses Tactics.	
Che Gorilla	boomchakalaka	che_gorilla_pr	Character	Jammers	Rebel Mastermind	5	{jam}{jam}{tek}	{jam}	X			Promo	che gorilla rebel mastermind	Unique. X= the number of cards in target opponents smoked pile at the time Che Gorilla enters play.	
Chin's Criminal Network	boomchakalaka	chins_criminal_network_bcl	Event	Eaters of the Lotus	Hood Event	0	{lot}					Uncommon	chin criminal network hood	Limited. Gain 1 Power for every three <Hood> cards in play.	
Chinese Connection	boomchakalaka	chinese_connection_bcl	Edge	Guiding Hand	Edge	0	{han}{han}					Uncommon	chinese connection	Once per turn you may give an opponent 1 Power to heal target card.	
Chop Shop	boomchakalaka	chop_shop_bcl	Site	Unaligned	Hood Site	2				1	6	Uncommon	chop shop hood	Sacrifice a Vehicle and turn to gain Power equal to the Vehicle's cost.	
Claws	boomchakalaka	claws_bcl	Character	Unaligned	Unkillable Hood Bruiser	6			9			Rare	claw unkillable hood bruiser	Unique. Toughness: 2. Play if you control a <Hood> card. Not affected by Stealth, Assassinate, or <Operation> Events. Characters lose Ambush until the end of combat when they enter combat with Claws.	
Curtis Graham	boomchakalaka	curtis_graham_bcl	Character	Jammers	Urban Revolutionary	2	{jam}	{jam}{tek}	1			Rare	curtis graham urban revolutionary	Unique. Turn to inflict 3 damage on target Site.	
Da Boys	boomchakalaka	da_boys_bcl	Character	Unaligned	Hood Enforcers	4			X			Common	boy hood enforcer	X= the number of cards controlled by target opponent at the time Da Boys enter play.	
Death Ring	boomchakalaka	death_ring_bcl	Site	Eaters of the Lotus	Underground Hood Site	2	{lot}	{lot}		1	8	Rare	death ring underground hood	Unique. Turn this card and a Character you control, and target an opponent's Character with Fighting no lower than two less than your Character's :: The two Characters enter a Faceoff.	
Dirty Tricks	boomchakalaka	dirty_tricks_bcl	Event	Ascended	Event	0	{asc}{asc}					Uncommon	dirty trick	Target two opponents. Each looks at the other's hand, and must secretly choose a card to force him or her to discard.	
Disco	boomchakalaka	disco_bcl	Site	Feng Shui Site	Feng Shui Site					1	8	Common	disco	Limited. Immediately choose a designator when this Site is revealed or seized. Turn when an opponent plays a card with that designator to gain 1 Power.	
Disco Inferno	boomchakalaka	disco_inferno_bcl	Event	Jammers	Event	1	{jam}{jam}{jam}					Uncommon	disco inferno	Inflict 4 damage on target Site.	
Doctor Zaius	boomchakalaka	doctor_zaius_bcl	Character	Jammers	Weird Monkey Scientist	3	{jam}{jam}	{jam}	3			Rare	doctor zaius weird monkey scientist	Unique. When Doctor Zaius smokes a Character by inflicting combat damage, flip a coin. Heads: return the Character to play under your control.	
Earth, Wind, and Fire	boomchakalaka	earth_wind_and_fire_bcl	Event	Four Monarchs	Event	3	{mon}{mon}					Uncommon	earth wind fire	Heal all cards you control. Inflict X damage on target Character. X= the amount of damage healed.	
Everybody Was Kung Fu Fighting	boomchakalaka	everybody_was_kung_fu_fighting_bcl	Edge	Guiding Hand	Edge	0	{han}{han}					Uncommon	everybody kung fu fighting	Play if you control a <Martial>, <Monk>, or <Temple> card. All Characters inflict +1 damage. Smoke this card when you turn a non-Character card.	
Evil Master	boomchakalaka	evil_master_bcl	State	Eaters of the Lotus	State	3	{lot}{lot}{lot}					Uncommon	evil master	Limited. Play on a Character if you control a <Martial> Character. Subject gains +6 Fighting and the designator <Master>.	
Fast as Lightning	boomchakalaka	fast_as_lightning_bcl	Event	Dragons	Event	1	{dra}{dra}					Common	fast lightning	Play during an attack. Target Character has Ambush against the next Character it enters combat with this attack.	
Fatty Cho	boomchakalaka	fatty_cho_bcl	Character	Guiding Hand	Chubby Cop	2	{han}{han}	{han}	X			Rare	fatty cho chubby cop	Unique. X= the number of cards you discard when Fatty Cho enters play.	
Fire in the Sky	boomchakalaka	fire_in_the_sky_bcl	Event	Architects of the Flesh	Event	1	{arc}					Common	fire sky	Sacrifice a Character to smoke target Character.	
Fists of Fury	boomchakalaka	fists_of_fury_bcl	Event	Dragons	Event	1	{dra}					Uncommon	fist fury	Target an attacker you control. Until the end of the attack, when target inflicts combat damage on a Character, you may inflict an equal amount of damage on another Character at that location.	
