Name	Set	ImageFile	Type	Faction	Subtitle	Cost	Requires	Provides	Fighting	Power	Body	Rarity	Designators	Text	Script
Acupressure Master	criticalshift	acupressure_master_cs	Character	Guiding Hand	Martial Artist	4	{han}{han}	{han}{chi}	6			Uncommon	acupressure master martial artist	Toughness: 1. When damage inflicted on this card is reduced by Toughness, you may remove X damage, divided any way you want, from cards in play. X= the amount of damage reduced.	
Anubis	criticalshift	anubis_cs	Character	Ascended	Reascended Jackal	5	{asc}{asc}{asc}{tek}{tek}	{asc}{tek}	7			Rare	anubis reascended jackal	Unique. Stealth. Gains +1 Fighting until he leaves play when any Character is smoked.	
Ape Shall Kill Ape	criticalshift	ape_shall_kill_ape_cs	Event	Jammers	Event	0	{jam}{jam}					Uncommon	ape shall kill	Faceoff. Turn a Character you control and target an opponent's Character with Fighting no lower than two less than yours. The winner may blank the text of a Site controlled by the loser until it leaves play.	
Arcanomoth	criticalshift	arcanomoth_cs	Character	Architects of the Flesh	Metamorphic Abomination	2		{arc}{tek}	2			Common	arcano moth metamorphic abomination	If you have {arc}{arc}{arc} before you play this card, you may pay 2 additional Power while doing so to give it +4 Fighting and Toughness: 1 until it leaves play.	
Arctic Fortress	criticalshift	arctic_fortress_cs	Site	Feng Shui Site	Feng Shui Site					1	8	Uncommon	arctic fortress	Takes no damage from Characters that are the subject of States.	
Black Belt Rebels	criticalshift	black_belt_rebels_cs	Character	Guiding Hand	Fanatic Nationalists	3	{han}	{han}	4			Common	black belt rebel fanatic nationalist	You may play this card from your smoked pile at -2 cost when an opponent who is closer to victory than you declares an attack on a card you control.	
Black Helicopter Squad	criticalshift	black_helicopter_squad_cs	Character	Ascended	Pledged Agents	1		{asc}	1			Common	black helicopter squad pledged agent	+2 damage. Cannot be declared as an attacker unless a Unique Character is also attacking.	
Botzilla	criticalshift	botzilla_cs	Character	Jammers	Behemoth Mechanical Lizard	6	{jam}{jam}{jam}{jam}{tek}	{jam}{tek}	10			Rare	botzilla behemoth mechanical lizard	Unique. Guts. Inflict 2 damage on any opponent's card that turns while Botzilla is attacking.	
Bouncing the Rubble	criticalshift	bouncing_the_rubble_cs	Edge	Jammers	Edge	0	{jam}{jam}					Uncommon	bouncing rubble	Limited. Put a counter on this card when a Site's Body is reduced to 0. Turn and remove all counters :: Inflict damage on target Site equal to the number of counters.	
Box of Bones	criticalshift	box_of_bones_cs	Edge	Eaters of the Lotus	Edge	1	{lot}{lot}{mag}					Uncommon	box bone	Turn when a Character is healed :: Inflict X damage on a Character. X= the amount of damage healed.	
Bull Market	criticalshift	bull_market_cs	Event	Ascended	Event	0	{asc}{asc}{asc}					Uncommon	bull market	Limited. Every player gains 5 Power.	
Burning Man	criticalshift	burning_man_cs	Character	Four Monarchs	Fire Secret Agent	4	{mon}	{mon}{chi}	6			Uncommon	burning man fire secret agent	Stealth. Play only if you control at least one <Secret> card. +2 damage.	
Bush Pilot	criticalshift	bush_pilot_cs	Character	Dragons	Rugged Hero	2		{dra}	2			Common	bush pilot rugged hero	Mobility. You may attack back-row Sites if this card is declared as an attacker.	
Buzzsaw Arm	criticalshift	buzzsaw_arm_cs	State	High Tech	Brutal Weapon State	1	{tek}{tek}					Uncommon	buzzsaw arm brutal weapon	Weapon. Subject Character gains +2 damage. When subject enters combat with a Character, that Character gains -1 Fighting until it leaves play.	
Cannibal Army	criticalshift	cannibal_army_cs	Character	Eaters of the Lotus	Albino Horde	2		{lot}	2			Common	cannibal army albino horde	When an opponent plays a Site, you may inflict 1 damage on a card that he or she controls.	
Cannibal's Banquet	criticalshift	cannibals_banquet_cs	Event	Eaters of the Lotus	Event	0	{lot}{mag}					Common	cannibal banquet	Limited. Play when a Character you control is smoked by an opponent. You gain Power equal to half (round down) that Character's cost.	
Catching Bullets	criticalshift	catching_bullets_cs	Event	Syndicate	Event	1	{syn}					Common	catching bullet	Play in response to an Event that targets a Character you control :: Cancel the Event, and put the card face up in front of you. You may play it, ignoring resource conditions, as if it were in your hand, but cannot discard it. Toast it at the end of your next turn if it is unplayed.	
Cheng Hu Bai	criticalshift	cheng_hu_bai_cs	Character	Guiding Hand	Red Master	4	{han}{han}{han}	{han}{chi}	7			Rare	cheng hu bai red master	Unique. Superleap. Can attack back-row Sites. Cannot be declared as an attacker on front-row Sites.	
Christine Winter	criticalshift	christine_winter_cs	Character	Purists	Fractured Sorcerer Prodigy	2	{pur}{pur}{mag}	{pur}{mag}	3			Uncommon	christine winter fractured sorcerer prodigy	You may sacrifice a Character when this card is smoked :: Return this card to play turned.	
Cloaca	criticalshift	cloaca_cs	Character	Eaters of the Lotus	Demon King of the Hong Kong Sewers	5	{lot}{lot}{lot}	{lot}{mag}	8			Rare	cloaca demon king hong kong sewer	Unique.\r\nSacrifice a Character and choose Event, Site, or Edge :: This card is not affected by cards of the chosen type until the end of the turn.	
Corporate Warfare	criticalshift	corporate_warfare_cs	Edge	Syndicate	Edge	1	{syn}					Uncommon	corporate warfare	Influence: 2. Sacrifice :: Smoke target Edge.	
Crane Stance	criticalshift	crane_stance_cs	State	Guiding Hand	State	0	{han}{han}					Common	crane stance	The next time subject Character would take damage, reduce the damage to zero and sacrifice this card instead.	
Cybermod Parlor	criticalshift	cybermod_parlor_cs	Site	Syndicate	Site	2		{syn}{tek}		1	6	Common	cybermod parlor	If there is only one Site at a location you control, you may play this card into the front row at that location. (Move the other Site to the back row.)	
Cyborg Mermaid	criticalshift	cyborg_mermaid_cs	Character	Jammers	Aquatic Saboteur	4	{jam}{jam}	{jam}{tek}	5			Uncommon	cyborg mermaid aquatic saboteur	Guts. Once per turn, you may inflict 1 damage on all your Sites :: This card gains +2 Fighting until the end of the turn.	
Delay the Inevitable	criticalshift	delay_the_inevitable_cs	Event	Purists	Event	1	{pur}{pur}					Common	delay inevitable	Play in response to an Event, State, or Edge :: Cancel that card, and put it face up in front of the player who played it. He or she may play it as if from hand at no cost and ignoring resource conditions, but cannot do so this turn.	
Demonic Alliance	criticalshift	demonic_alliance_cs	Edge	Eaters of the Lotus	Edge	1	{lot}{lot}					Promo	demonic alliance	Turn and maintain :: Target Character gains Regenerate.	
Devendra Chalal	criticalshift	devendra_chalal_cs	Character	Syndicate	The Burning Hand	5	{syn}{syn}{syn}{tek}	{syn}	7			Rare	devendra chalal burning hand	Unique. +3 damage. Cannot be intercepted by Characters with a cost of 2 or less.	
Dimitri Lyapunov	criticalshift	dimitri_lyapunov_cs	Character	Syndicate	Cybernetics Mastermind	2	{syn}{syn}	{syn}{tek}	2			Rare	dimitri lyapunov cybernetic mastermind	Unique. Pay 1 Power or turn :: Return any card from your smoked pile to play as a 1-Fighting Toast-It Character with the title "Drone". The rest of the card is treated as if it were printed blank.	
