Name	Set	ImageFile	Type	Faction	Subtitle	Cost	Requires	Provides	Fighting	Power	Body	Rarity	Designators	Text	Script
Alchemist's Lair	darkfuture	alchemists_lair_df	Site	Magic	Site	2		{mag}{mag}	0	1	5	Common	alchemist lair		
Arachnae	darkfuture	arachnae_df	Character	Ascended	Reascended Spider	4	{asc}{asc}{asc}{tek}{tek}	{asc}	7	0	0	Rare	arachnae reascended spider	Unique. Assassinate. Regeneration.	
Arcane Scientist	darkfuture	arcane_scientist_df	Character	Purists	Initiate of Paradox	2		{pur}{mag}	2	0	0	Common	arcane scientist initiate paradox	Turn to draw a card during your Main Shot.	
Assault Drone	darkfuture	assault_drone_df	Character	Architects of the Flesh	Arcanowave Robot	5	{arc}{arc}{arc}{tek}	{arc}{tek}	7	0	0	Uncommon	assault drone arcanowave robot	Toughness: 1. Cannot intercept. Assault Drone enters play with four counters on it. Add one counter at the start of your turn. Remove a counter to inflict one damage on any target at this location.	
Battle Cry	darkfuture	battle_cry_df	Event	Four Monarchs	Event	1	{mon}		0	0	0	Common	battle cry	Inflict X damage on target Character. X= 2 plus the number of <Battleground> Sites in play.	
Battlechimp Potemkin	darkfuture	battlechimp_potemkin_df	Character	Jammers	Subversive Chimp Mastermind	4	{jam}{jam}{tek}	{jam}{jam}{tek}	6	0	0	Rare	battlechimp potemkin subversive chimp mastermind	Unique. Once during each opponent's Main Shot, you may play a {jam} or {tek} Event from any player's smoked pile, ignoring resource conditions, and toasting the Event immediately.	
Battle-Matic	darkfuture	battlematic_df	State	Jammers	State	1	{jam}{jam}{tek}		0	0	0	Uncommon	battle matic	Vehicle. Subject Character gains Toughness: 1 and +X Fighting. X= the number of Vehicles, Weapons, and {tek} States in your smoked pile.	
Beta Beast	darkfuture	beta_beast_df	Character	Architects of the Flesh	Early Model Abomination	2		{arc}{tek}	2	0	0	Common	beta beast early model abomination	Toughness: 1 against Characters who provide only one resource.	
Big Macaque Attack	darkfuture	big_macaque_attack_df	Character	Jammers	Monkey Horde	2		{jam}	1	0	0	Common	big macaque attack monkey horde	+1 Fighting for each <Monkey> Character in play. Not a legal subject for States.	
BK97 Attack Chopper	darkfuture	bk97_attack_chopper_df	State	Architects of the Flesh	State	2	{arc}{arc}{tek}		0	0	0	Common	bk97 attack chopper	Vehicle. Subject Character gains +3 Fighting. Damage subject inflicts cannot be reduced.	
Blue Mandarin	darkfuture	blue_mandarin_df	Character	Guiding Hand	Deceptive Bureaucrat	1	{han}{han}	{han}	1	0	0	Common	blue mandarin deceptive bureaucrat	Turn and maintain and target a Character. That Character cannot intercept or turn to generate an effect.	
Borrowed Nuke	darkfuture	borrowed_nuke_df	State	Dragons Jammers	State	2	{dra}{dra}{jam}{tek}		0	0	0	Rare	borrowed nuke	One Shot. Play on an opponent's Site, except during an attack. Subject cannot be seized or burned. If an attack on the subject succeeds, smoke all cards at this location. (Including any attackers.)	
Buro Blue Spear	darkfuture	buro_blue_spear_df	State	Architects of the Flesh	Gun State	1	{arc}		0	0	0	Common	buro blue spear gun	Weapon. Subject Character gains +1 Fighting. Turn to inflict 1 damage on target Character at this location.	
BuroMil "Savage"	darkfuture	buromil_savage_df	State	Architects of the Flesh	Tank State	4	{arc}{arc}{tek}		0	0	0	Uncommon	buro mil savage tank	Vehicle. Subject Character gains Mobility, +6 Fighting and Toughness: 1.	
BuroMil Grunt	darkfuture	buromil_grunt_df	Character	Architects of the Flesh	Brutal Soldier	1		{arc}	2	0	0	Common	buro mil grunt brutal soldier	Uncopyable. You may play BuroMil Grunt during an attack against you. Smoke BuroMil Grunt at the end of the turn he is played.	
Cataract Gorge	darkfuture	cataract_gorge_df	Site	Feng Shui Site	Feng Shui Site	0			0	1	7	Rare	cataract gorge	Unique. Turn to give target Character Independent until the end of the turn.	
Cellular Reinvigoration	darkfuture	cellular_reinvigoration_df	Event	Architects of the Flesh	Event	1	{arc}		0	0	0	Common	cellular reinvigoration	Until the end of the turn, target Character gains Guts and is not smoked if its Fighting is 0.	
Chaos Spirit	darkfuture	chaos_spirit_df	Character	Magic	Volatile Construct	2	{mag}{mag}	{mag}	2	0	0	Common	chaos spirit volatile construct	At the end of each player's turn, you must inflict 2 damage on a card the player to his or her left controls.	
Chi Reconfiguration	darkfuture	chi_reconfiguration_df	Event	Purists	Event	1	{pur}{pur}		0	0	0	Uncommon	chi reconfiguration	Smoke a Feng Shui Site you control, and return a Feng Shui Site in your smoked pile to play in the same position as the smoked Site. This may change the target of an attack.	
Close Call	darkfuture	close_call_df	Event	Jammers	Event	1	{jam}{jam}		0	0	0	Common	close call	Redirect up to 3 damage from a single source that would damage a Character to a Site controlled by that source's controller.	
Combat Veteran	darkfuture	combat_veteran_df	State	Architects of the Flesh	State	1	{arc}		0	0	0	Uncommon	combat veteran	Play on a <Soldier>, <Military>, or <Trooper> Character you control. Turn a <Battleground> Site you control to give subject +1 Fighting until the end of turn.	
Concourse Godard	darkfuture	concourse_godard_df	Character	Dragons	Renegade Supersoldier	5	{dra}{dra}{dra}	{dra}{tek}	9	0	0	Rare	concourse godard renegade super soldier	Unique. Any opponent's effect that would remove this card from play except by inflicting damage inflicts 3 damage on him instead.	
Consumer on the Brink	darkfuture	consumer_on_the_brink_df	Character	Dragons	Disgruntled Everyman	1	{dra}	{dra}	1	0	0	Common	consumer brink disgruntled everyman	+1 Fighting for each Unique and Limited Site controlled by opponents.	
Coral Reef	darkfuture	coral_reef_df	Site	Feng Shui Site	Feng Shui Site	0			0	1	8	Common	coral reef	Turn when you declare an attack :: Draw a card then discard a card. This ability is not cumulative.	
Corruption	darkfuture	corruption_df	Event	Eaters of the Lotus	Event	1	{lot}		0	0	0	Uncommon	corruption	All opponents' Characters with a cost or Fighting of 4 or greater take 2 damage and turn.	
Dark Sacrifice	darkfuture	dark_sacrifice_df	Event	Four Monarchs	Event	1	{mon}{mon}		0	0	0	Common	dark sacrifice	Steal 1 Power from target opponent. If you could not, that player must sacrifice a Character of his or her choice.	
Defiant Bloom	darkfuture	defiant_bloom_df	Edge	Guiding Hand	Edge	1	{han}{han}	{chi}	0	0	0	Uncommon	defiant bloom	Limited. Turn to remove 1 damage each from up to 3 cards you control.	
Deja Vu	darkfuture	deja_vu_df	Event	Purists	Event	1	{pur}{pur}{mag}		0	0	0	Uncommon	deja vu	Toast It. Immediately play an Event from your smoked pile (at normal cost) and toast that Event.	
Demon Tank	darkfuture	demon_tank_df	State	Eaters of the Lotus	State	3	{lot}{lot}{mag}		0	0	0	Uncommon	demon tank	Vehicle. Subject Character gains Toughness: 1, Regenerate, and +3 Fighting. Smoke subject if it is a <Demon>.	
Desdemona Deathangel (DF)	darkfuture	desdemona_deathangel_df	Character	Architects of the Flesh	Abomination	5	{arc}{arc}{arc}	{arc}	6	0	0	Rare	desdemona deathangel abomination	Unique. Ambush. Sacrifice a Character to give Desdemona Deathangel +1 Fighting until the end of the turn.	
Destroyer (DF)	darkfuture	destroyer_df	Character	Eaters of the Lotus	Demon Martial Artist	4	{lot}{lot}	{lot}	4	0	0	Rare	destroyer demon martial artist	Unique. Cannot be sacrificed. If Destroyer is in your smoked pile at the start of your turn, return Destroyer to play.	
Destroyer Drone	darkfuture	destroyer_drone_df	Character	Architects of the Flesh	Arcanowave Robot	5	{arc}{arc}{arc}{tek}	{arc}{tek}	7	0	0	Uncommon	destroyer drone arcanowave robot	Toughness: 1. Cannot attack Characters. +4 damage against Sites.	
Dirk Wisely	darkfuture	dirk_wisely_df	Character	Dragons	Man of Action	3	{dra}{dra}{dra}	{dra}{tek}	4	0	0	Rare	dirk wisely man action	Unique. Once per turn, you may unturn him at the end of a successful attack in which he was the only attacker.	
Dump Scrounger	darkfuture	dump_scrounger_df	Character	Jammers	Netherworld Scavenger	2	{jam}	{jam}{tek}	2	0	0	Common	dump scrounger netherworld scavenger	Turn this card and toast a Character in your smoked pile to gain 1 Power.	
Dunwa Saleem	darkfuture	dunwa_saleem_df	Character	Ascended	Prophet of the Reascension	3	{asc}{asc}	{asc}{tek}	4	0	0	Rare	dunwa saleem prophet reascension	Unique. Generates 1 Power during your Establishing Shot if you control another {tek} card. Once during your turn, you may look through your deck for a <Reascended> Character, show it to your opponents, and put it in your hand.	
Energy Flail	darkfuture	energy_flail_df	State	Magic	State	1	{mag}{mag}		0	0	0	Uncommon	energy flail	Weapon. Play on a Character. Turn and discard a card :: Inflict X damage on target Character at this location. X= the number of {mag} resources provided and required by the subject.	
Entropy Sphere	darkfuture	entropy_sphere_df	Event	Purists	Event	1	{pur}{pur}		0	0	0	Common	entropy sphere	Smoke target Character and inflict X damage on a front-row Feng Shui Site you control. X= the target's cost.	
Entropy Tap	darkfuture	entropy_tap_df	Event	Purists	Event	0	{pur}{mag}		0	0	0	Common	entropy tap	Limited. Play when a Site you control takes combat damage but its Body is not reduced to 0 :: Gain X Power. X= half (round down) the damage inflicted.	
Esteban Vicente	darkfuture	esteban_vicente_df	Character	Purists	Geomancer Mastermind	3	{pur}{pur}{pur}	{pur}{mag}	5	0	0	Rare	esteban vicente geomancer mastermind	Unique. When this card comes into play, you may rearrange target player's Site structure; you may not change the number of columns.	
FAE Schwartz	darkfuture	fae_schwartz_df	Character	Jammers	Incendiary Fanatic	3	{jam}{jam}	{jam}	3	0	0	Uncommon	fae schwartz incendiary fanatic	Unique. When this card is smoked, inflict X damage on each Character and Site at his location. X= his Fighting unmodified by damage.	
Fake Out	darkfuture	fake_out_df	Event	Dragons	Event	0	{dra}{dra}		0	0	0	Uncommon	fake out	Play while you are attacking with more than one Character. Target interceptor ceases intercepting, but its controller may choose to intercept a different attacker with it.	
Fallen Heroes	darkfuture	fallen_heroes_df	Event	Dragons	Event	0	{dra}{dra}		0	0	0	Uncommon	fallen hero	Toast a Character in your smoked pile to give target Character +X Fighting until the end of the turn. X= the number of resources required and provided by the toasted Character.	
Fearsome Foe	darkfuture	fearsome_foe_df	State	Eaters of the Lotus	State	0	{lot}{lot}		0	0	0	Uncommon	fearsome foe	If subject Character is attacking, each opponent who intercepts must intercept it if he or she can.	
Fist of Freedom	darkfuture	fist_of_freedom_df	Character	Guiding Hand	Rebel Martial Artist	3	{han}{han}	{han}{chi}	4	0	0	Common	fist freedom rebel martial artist	+2 damage against the target of his attack if no interceptors were declared against him this attack.	
Fo Shen	darkfuture	fo_shen_df	Character	Eaters of the Lotus	Eunuch Pawn	2	{lot}	{lot}{mag}	2	0	0	Rare	fo shen eunuch pawn	Unique. Turn to look at the top card of an opponent's deck. You may toast that card.	
Fortress Omega	darkfuture	fortress_omega_df	Site	Architects of the Flesh	Site	3	{arc}{arc}{arc}{tek}	{arc}{tek}	0	1	12	Rare	fortress omega	Unique. Toughness: 1. When a non-Unique Character enters combat with this Site, inflict 1 damage on that Character. (Before combat damage is dealt.) Turn to play a <Cyborg> or <Drone> Character at -1 cost.	
Free Fire Zone	darkfuture	free_fire_zone_df	Site	Jammers	Battleground Site	1	{jam}		0	0	5	Uncommon	free fire zone battleground	Limited. Any player who seizes this Site gains 2 Power. If this Site is in your front row, gain 1 Power when you smoke a Site.	
Funky Monkey	darkfuture	funky_monkey_pr	Character	Jammers	Chimp Pimp	3	{jam}{jam}{jam}	{jam}	5	0	0	Promo	funky monkey chimp pimp	Unique.	
General Olivet	darkfuture	general_olivet_df	Character	Architects of the Flesh	BuroMil Military Mastermind	4	{arc}{arc}{arc}	{arc}{arc}	6	0	0	Rare	general olivet buro mil military mastermind	Unique. Tactics. You may play <Soldier>, <BuroMil>, or <Military> Characters during opponents' turns. May attack during opponents' turns, and <Soldier>, <BuroMil>, or <Military> Characters may attack with him.	
Gloating Laughter	darkfuture	gloating_laughter_df	State	Eaters of the Lotus	State	0	{lot}{lot}		0	0	0	Uncommon	gloating laughter	Limited. Play on a Character you control when you seize or burn a Site for victory. Subject gains +1 Fighting, or +2 if it is a <Eunuch>.	
Got My Mojo Working	darkfuture	got_my_mojo_working_df	Event	Dragons	Event	1	{dra}{dra}{dra}		0	0	0	Common	got my mojo working	Play in response to an opponent's Event. Choose a Character that the Event would damage or smoke :: Unturn that Character, and it is not affected by the Event.	
Hell Charger	darkfuture	hell_charger_df	State	Eaters of the Lotus	Demon State	2	{lot}{lot}		0	0	0	Uncommon	hell charger demon	Vehicle. Subject Character gains +3 Fighting. Remove 2 damage from subject at the start of your turn. Turn Hell Charger to change subject's location.	
Hexagram Spirit	darkfuture	hexagram_spirit_df	Character	Purists	Sorcerous Construct	4	{pur}{pur}{mag}	{pur}{mag}	6	0	0	Uncommon	hexagram spirit sorcerous construct	When this card turns to attack, target an opponent and name a card :: Look at that player's hand, and gain 1 Power for each copy of the named card in it.	
Homemade Tank	darkfuture	homemade_tank_df	State	Jammers	State	2	{jam}{tek}		0	0	0	Common	homemade tank	Toast It. Vehicle. Subject Character gains Toughness: 1 and +4 Fighting. Flip a coin at the start of your turn. Heads: Toast Homemade Tank.	
Hot Springs	darkfuture	hot_springs_df	Site	Feng Shui Site	Feng Shui Site	0			0	1	6	Common	hot spring	Turn and maintain and target a Character :: Target takes no damage from Sites, and is not affected by effects generated by other Sites.	
Ice Sorceress	darkfuture	ice_sorceress_df	Character	Four Monarchs	Geomancer Mastermind	2	{mon}{mon}	{mon}{mag}	2	0	0	Uncommon	ice sorceress geomancer mastermind	Turn and maintain to either add 3 or subtract 2 from target Feng Shui Site's Body. If this would reduce the Site's Body below 1, reduce it to 1 instead.	
Identity Chop Shop	darkfuture	identity_chop_shop_df	Site	Feng Shui Site	Feng Shui Site	0			0	1	8	Uncommon	identity chop shop	Limited. Turn and maintain to give or remove a designator of your choice from target Character you control. (This is not considered to change a card's title.)	
IFF Missiles	darkfuture	iff_missiles_df	Event	High Tech	Event	1	{tek}		0	0	0	Common	iff missile	Target an opponent :: Inflict 2 damage on each Character that opponent controls who does not share a designator with any other Character that player controls.	
Inoue Oram	darkfuture	inoue_oram_df	Character	Purists	Sorcerer Mastermind	2	{pur}	{pur}{mag}	2	0	0	Uncommon	inoue oram sorcerer mastermind	Unique. Gain 1 power at the start of your Main Shot if you drew any cards during your Draw Phase and the number of cards drawn was even.	
Jack of All Trades	darkfuture	jack_of_all_trades_df	Character	Jammers	Resourceful Techie	1	{jam}	{jam}{tek}	1	0	0	Common	jack all trade resourceful techie	Turn this card and sacrifice a State :: Search through your deck for a State with a different title. Show it to your opponents and put it in your hand.	
Jason X	darkfuture	jason_x_df	Character	Architects of the Flesh	Brainwashed Supersoldier	4	{arc}{arc}{arc}	{arc}{dra}	6	0	0	Rare	jason x brainwashed super soldier	Unique. Guts. The cost of all {dra} Events is increased by 1.	
Jet Pack	darkfuture	jet_pack_df	State	High Tech	State	1	{tek}{tek}		0	0	0	Common	jet pack	Vehicle. Subject Character gains Mobility and +1 Fighting. Turn and flip a coin :: Heads: Subject gains Superleap and +2 Fighting until the end of the turn. Tails: Inflict 3 damage on subject.	
