Name	Set	ImageFile	Type	Faction	Subtitle	Cost	Requires	Provides	Fighting	Power	Body	Rarity	Designators	Text	Script
36-Legged Horror	empireofevil	36_legged_horror_eoe	Character	Purists	Spirit of Persistence	3	{pur}{mag}	{pur}	4			Uncommon	36 legged horror spirit persistence	Mobility. +2 damage to Characters. Cannot be prevented from intercepting. (This overrides 'cannot intercept' and 'ceases intercepting' effects.) Not affected by other Characters' Stealth or Superleap.	
Abomination Serum	empireofevil	abomination_serum_eoe	State	Architects of the Flesh	State	3	{arc}{arc}{mag}{tek}					Uncommon	abomination serum	Unique. Subject Character gains +3 Fighting and the designator <Abomination>. Turn and maintain a <Scientist> Character you control :: Take control of subject.	
Abysmal Behemoth	empireofevil	abysmal_behemoth_eoe	State	Eaters of the Lotus	Demon Steed State	2	{lot}{lot}{mag}					Uncommon	abysmal behemoth demon steed	Vehicle. Subject Character gains +4 Fighting. Turn :: Cancel an effect that would change the target of subject's attack. Subject Character cannot change location during other players' turns.	
Akamatsu Mitsusuke	empireofevil	akamatsu_mitsusuke_eoe	Character	Syndicate	Corporate Samurai	5	{syn}{syn}{syn}	{syn}{chi}	8			Rare	akamatsu mitsusuke corporate samurai	Unique. Not affected by other Characters' Ambush, Stealth, Superleap or Assassinate. This card's damage cannot be reduced or redirected and the target of its attack cannot be changed. 	
Alexandre Chen	empireofevil	alexandre_chen_eoe	Character	Dragons	Redeemed Monster Hunter	3	{dra}{dra}{dra}	{dra}{arc}	5			Rare	alexander chen redeemed monster hunter	Unique. Independent. Ambush against <Demon>, <Ghost> and <Spirit> Characters. Gain 1 Power when this card joins an opponent's attack.	
Alpine Squad	empireofevil	alpine_squad_eoe	Character	Architects of the Flesh	Elite Soldiers	4	{arc}{arc}	{arc}	4			Uncommon	alpine squad elite soldier	Ambush. This card gains +1 Fighting for each State on it that does not share the title of another State on it.	
Ancient Stone Arch	empireofevil	ancient_stone_arch_eoe	Site	Feng Shui Site	Feng Shui Site					1	8	Common	ancient stone arch	Once per turn, when an effect generated from an opponent's Feng Shui Site causes him or her to steal or gain power, you may gain 1 power. (This does not apply to generating Power.)	
Andy Di	empireofevil	andy_di_eoe	Character	Jammers	Rabble Rouser	3	{jam}{jam}	{jam}	4			Uncommon	andy di rabble rouser	Unique. All Characters you control with a printed Fighting of 1 or 2 gain +1 Fighting.	
Arcanowave Feedback	empireofevil	arcanowave_feedback_eoe	Event	Architects of the Flesh	Event	0	{arc}{arc}{mag}					Common	arcano wave feedback	Inflict X damage on target Character or Site. X=the number of resources it requires and provides.	
Auspicious Thermite	empireofevil	auspicious_thermite_eoe	Event	Jammers	Event	1	{jam}{jam}					Uncommon	auspicious thermite	Either inflict 3 damage, divided any way you choose, on one or more target Sites, or smoke all States on target Site.	
