Name	Set	ImageFile	Type	Faction	Subtitle	Cost	Requires	Provides	Fighting	Power	Body	Rarity	Designators	Text	Script
Agent Neil North	endgame	agent_neil_north_eg	Character	Ascended	Sworn Enigmatic Mastermind	3	{asc}{asc}	{asc}	4			Fixed	agent neil north sworn enigmatic mastermind	Unique. When you generate an effect that would take control of an opponent's card, put an "Agent" Character token into play. It has a printed Fighting of 2, Stealth, and a printed cost of {asc}2. Turn and maintain and target a Character that is not controlled by its owner :: Take control of target.	
Anarchy in the HK!	endgame	anarchy_in_the_hk_eg	Event	Jammers	Punk Event	0	{jam}{jam}					Fixed	anarchy hk punk	Limited. Play when an opponent burns a Site you control. Put X "Fanatic" Character tokens into play. They have a printed Fighting of 2, Unstoppable, and a printed cost of {jam}2. X = The number of players in the game.	
ANFO Grenade	endgame	anfo_grenade_eg	Event	Jammers	Event	1	{jam}{jam}{jam}					Fixed	anfo grenade	Target a Site, which cannot be revealed in response :: Inflict X non-combat damage on target. X = 3 if the Site is revealed, or 5 if the Site is unrevealed.	
Blossoms of the Black Lotus	endgame	blossoms_of_the_black_lotus_eg	Character	Eaters of the Lotus	Devoted Martial Artists	3	{lot}	{lot}	3			Fixed	blossom black lotus devoted martial artist	+1 Fighting for each <Lotus>, <Thorn> or <Petal> card you control.	
Burying the Past	endgame	burying_the_past_eg	Edge	Ascended, Eaters of the Lotus	Edge	0	{asc}{lot}					Fixed	burying past	Toast 2 cards from your smoked pile :: Put a "Hood" Character token into play. It has a printed Fighting of 1 and a printed cost of 1. Turn this card and a Hood Character you control :: Draw a card.	
Catacombs	endgame	catacombs_eg	Site	Feng Shui Site	Feng Shui Site					1	14	Fixed	catacomb	When an opponent turns one or more Characters to attack this card, that player draws a card.	
Chiu Bagong	endgame	chiu_bagong_eg	Character	Four Monarchs	Thunder Shade	4	{mon}{mag}	{mon}{mag}	6			Fixed	chiu bagong thunder shade	Unique. When this card enters combat with one or more Characters, inflict 1 non-combat damage on each of those Characters, or 3 non-combat damage if they are <Darkness>, <Demon>, or <Undead>.	
Claw of the Ice Bear	endgame	claw_of_the_ice_bear_eg	Character	Four Monarchs	Netherworld Hero	3	{mon}	{mon}{mag}	4			Fixed	claw ice bear netherworld hero	When this card inflicts combat damage on the target of its attack, you may target a State :: Smoke target. If you controlled that State, gain 1 Power.	
Corporate Informer	endgame	corporate_informer_eg	Character	Ascended	Transformed Mole	1		{asc}{chi}	1			Fixed	corporate informer transformed mole	Enters play turned. Turn and target a player :: Look at target's hand.	
Crystal Heart	endgame	crystal_heart_eg	Edge	Four Monarchs	Ice Edge	1	{mon}{mag}					Fixed	crystal heart ice	Once per turn, when a Character you control is healed, gain 1 Power.	
Deadly Fans	endgame	deadly_fans_eg	State	Unaligned	State	2						Fixed	deadly fan	Weapon. Play on a Character. Subject inflicts +3 combat damage. Turn and target a Character intercepting subject :: Inflict 1 non-combat damage on target, and it ceases intercepting.	
Decked-Out Dirigible	endgame	decked-out_dirigible_eg	Site	High Tech	Site	2	{tek}{tek}			1	8	Fixed	decked out dirigible	Turn :: Draw 2 cards. You may pay {tek}{tek}{tek}5 instead of the printed cost to play this card as a State with the following rules text: "Vehicle. Play on a Character. Subject gains +9 Fighting and Mobility. Turn :: Draw 2 cards."	
Earthbound Warriors	endgame	earthbound_warriors_eg	Event	Four Monarchs	Event	0	{mon}{mon}					Fixed	earthbound warrior	Limited. Play during an attack. Until the end of the attack, Characters you control gain: “When this card is smoked, put a “Spirit” Character token into play. It has a printed Fighting of 1 and a printed cost of 1.”	
Emerald Mine	endgame	emerald_mine_eg	Site	Feng Shui Site	Feng Shui Site					1	5	Fixed	emerald mine	Turn this card and a Character you control at this location :: Put a counter on this card. Turn this card and remove X counters from it :: Gain X Power.	
Emergency Room	endgame	emergency_room_eg	Site	Feng Shui Site	Feng Shui Site					1	7	Fixed	emergency room	Characters at this location may turn to heal during any Main Shot. When this card is revealed, target a Character :: Heal target.	
Entrapment	endgame	entrapment_eg	Event	Ascended	Event	1	{asc}{asc}					Fixed	entrapment	Toast It. Play when an attack is declared and you control at least three turned Characters. Reduce to 0 all damage inflicted by attacking Characters until the end of the attack.	
