Name	Set	ImageFile	Type	Faction	Subtitle	Cost	Requires	Provides	Fighting	Power	Body	Rarity	Designators	Text	Script
Trust Me, I've Got a Plan	flashpoint	trust_me_ive_got_a_plan_fp_400	Event	Jammers	Event	1	{jam}{jam}					Common	trust me ive got plan	Play when you declare an attack against a target whose controller is at least as close to fulfilling victory conditions as you are. Attacking characters you control gain Stealth, until the end of the attack.	
Alchemist's Lair	flashpoint	alchemists_lair_fp_400	Site	Magic	Site	2		{mag}{mag}		1	5	Common	alchemist lair		
Anomaly Spirit	flashpoint	anomaly_spirit_fp_400	Character	Magic	Sorcerous Construct	2	{mag}{mag}	{mag}	2			Uncommon	anomaly spirit sorcerous construct	Whenever a new column begins in an opponent's site structure, Anomaly Spirit gains +1 Fighting until it leaves play.	
Arcanoseed	flashpoint	arcanoseed_fp_400	Site	Architects of the Flesh	Battleground Site	0	{arc}			0	4	Uncommon	arcano seed battleground	When Arcanoseed is in your front row, you may turn it when you declare an attack, to give target character Ambush against the first character it is in combat with during the attack. Any player who seizes the site gains 2 Power.	
Arcanostriker	flashpoint	arcanostriker_fp_400	State	Architects of the Flesh	State	2	{arc}					Uncommon	arcano striker	Vehicle. Subject character gains Tactics and +2 Fighting and cannot be intercepted by characters with a Fighting score of 2 or less. If Arcanostriker is smoked, inflict 6 points of damage on subject character.	
Arcanotank	flashpoint	arcanotank_fp_400	State	Architects of the Flesh	State	3	{arc}					Uncommon	arcano tank	Vehicle. Subject character gains +3 Fighting and Toughness: 1. Turn Arcanotank to inflict 1 point of damage on all characters at Arcanotank's location.	
Arcanotower 2056	flashpoint	arcanotower_2056_fp_400	Site	Architects of the Flesh	Site	4	{arc}{arc}{arc}	{arc}{arc}		2	8	Rare	arcano tower 2056	Unique. Cannot be seized. Reduces the number of feng shui sites you need for victory by one. Toughness: 2 against damage that is not inflicted by Unique characters. If Arcanotower 2056 is smoked, you do not generate Power during your next establishing shot.	
Arcanotower Now	flashpoint	arcanotower_now_fp_400	Site	Architects of the Flesh	Site	3	{arc}{arc}	{arc}		1	8	Rare	arcano tower now	Unique. Cannot be seized. Reduces the number of feng shui sites you need for victory by one. Opponents must pay 1 Power in addition to the normal cost to play a State on a card you control.	
Arcanoworms	flashpoint	arcanoworms_fp_400	State	Architects of the Flesh	State	2	{arc}{arc}					Uncommon	arcano worm	Inflict 2 points of damage on subject site whenever a character is smoked at its location.	
Art of War	flashpoint	art_of_war_fp_400	Edge	Unaligned	Edge	0						Uncommon	art war	Unique. Your hand size is increased by 2. When the player to your left declares an attack, you must predict whether the attack will be successful. If you are incorrect or fail to predict, the player to your left takes control of Art of War.	
Bad Colonel	flashpoint	bad_colonel_fp_400	Character	Ascended	Pledged Hood Warlord	2	{asc}	{asc}	2			Uncommon	bad colonel pledged hood warlord	Turn and maintain to take control of a <Soldier>. All <Soldiers> you control gain the designator <Hood> and inflict +1 damage.	
Birdhouse Cafe	flashpoint	birdhouse_cafe_fp_400	Site	Feng Shui Site	Feng Shui Site					1	7	Common	birdhouse cafe	If, at the end of your turn, an opponent is at least as close to fulfilling victory conditions as you are, characters that participated in attacks you declared this turn unturn.	
Blood of the Valiant	flashpoint	blood_of_the_valiant_fp_400	Event	Guiding Hand	Event	1	{han}{han}	{han}				Common	blood valiant	Play during an attack. Until the end of the attack, target attacking character takes no damage from intercepting characters.	
Bloody Horde	flashpoint	bloody_horde_fp_400	Character	Eaters of the Lotus	Demon Trouble	3		{lot}	3			Common	bloody horde demon trouble	Bloody Horde's Fighting score is increased by the number of other <Demon> <Horde>s you control plus the number of <Demon> <Horde>s in your smoked pile.	
Both Guns Blazing	flashpoint	both_guns_blazing_fp_400	State	Dragons	State	0	{dra}					Common	both gun blazing	Subject character gains +1 Fighting for each Weapon State on it. Draw a card when you play a weapon State on subject character. No character may be the subject of more than one Both Guns Blazing.	
Buro Godhammer	flashpoint	buro_godhammer_fp_400	State	Architects of the Flesh	State	1	{arc}					Common	buro godhammer	Weapon. Subject character inflicts +3 damage in combat.	
BuroMil Elite	flashpoint	buromil_elite_fp_400	Character	Architects of the Flesh	Perfect Soldiers	3	{arc}	{arc}	4			Common	buro mil elite perfect soldier	Toughness: 1 against <Rebel>s. Gains +1 Fighting while at a location that has a <Battleground> site in its front row.	
BuroMil Grunt	flashpoint	buromil_grunt_fp_400	Character	Architects of the Flesh	Brutal Soldier	1		{arc}	2			Common	buro mil grunt brutal soldier	BuroMil Grunt is smoked at the end of the turn he is played. You may play BuroMil Grunt during an attack against you. BuroMil Grunt's abilities cannot be given to another character by any means.	
BuroMil Ninja	flashpoint	buromil_ninja_fp_400	Character	Architects of the Flesh	Shadowy Assassin	3	{arc}	{arc}	3			Common	buro mil ninja shadowy assassin	Ambush and Assassinate against characters whose controller also controls a turned site.	
Bzzzzzt!	flashpoint	bzzzzzt_fp_400	Event	Architects of the Flesh	Purist Event	2	{arc}{arc}					Uncommon	bzzzzzt purist	Target a non-Unique Character :: Toast that Character.	
Carnival of Carnage	flashpoint	carnival_of_carnage_fp_400	Event	Dragons	Event	1	{dra}					Common	carnival carnage	For the duration of this turn, after each character is smoked, you may inflict 1 point of damage on any character in play. Each point of damage inflicted by Carnival of Carnage is a seperate source of damage.	
CAT Tactics	flashpoint	cat_tactics_fp_400	Edge	High Tech	Edge	0	{tek}{tek}					Uncommon	cat tactic	If an opponent ends his or her turn without declaring an attack, put a counter on CAT Tactics. Remove X counters to give target character +X Fighting until the end of the turn. Remove all such counters from CAT Tactics at the end of your turn.	
Cheap Punks	flashpoint	cheap_punks_fp_400	Character	Unaligned	Mercenary Hoods	2			2			Common	cheap punk mercenary hood	Anytime during any turn in which Cheap Punks are smoked, you may play a single <Hood> card or a single <Rabble> card at -1 cost.	
Chimpanzer	flashpoint	chimpanzer_fp_400	Character	Jammers	Cyborg Monkey Tank	3	{jam}{tek}	{jam}	4			Common	chimpanzer cyborg monkey tank	Characters intercepting as part of a chain cannot intercept Chimpanzer.	
City Park	flashpoint	city_park_fp_400	Site	Feng Shui Site	Feng Shui Site					1	8	Common	city park	Heal City Park at the end of the turn it is revealed. When a Site you control is burned, you may play City Park face up at no cost if you have not played a Site this turn.	
Claw of Fury	flashpoint	claw_of_fury_fp_400	Character	Eaters of the Lotus	Shadowy Assassin	2		{lot}	2			Common	claw fury shadowy assassin	Assassinate. Any time Claw of Fury is in your hand when an opponent targets *you* (as opposed to one of your cards or locations) with an Event, you may put Claw of Fury into play at no cost.	
Claw of the Dragon	flashpoint	claw_of_the_dragon_fp_400	State	Dragons	State	2	{dra}{dra}{dra}					Common	claw dragon	Subject character gains +2 Fighting and Guts. You may play Claw of the Dragon at no cost, and ignoring resource conditions, when a feng shui site you control is seized or burned.	
Coffee-Stained Cop	flashpoint	coffee-stained_cop_fp_400	Character	Dragons	Wily Veteran	3	{dra}	{dra}	4			Uncommon	coffee stained cop wily veteran	If Coffee-Stained Cop is smoked by an opponent, all characters you currently control gain +1 Fighting until the end of the turn.	
Colonel Griffith	flashpoint	colonel_griffith_fp_400	Character	Architects of the Flesh	BuroMil Mastermind	3	{arc}{arc}	{arc}	3			Rare	colonel griffith buro mil mastermind	Unique. Turn and maintain to give target character +X Fighting and Tactics. X = the total number of that character's resource conditions and resources.	
Comrades in Arms	flashpoint	comrades_in_arms_fp_400	State	Dragons	State	1	{dra}					Common	comrade arm	Limited. You may ignore resource conditions when playing characters that share a designator with subject character. If you have a <Battleground> site in your front row, other characters you control that share a designator with subject character gain Toughness: 1	
Cop on Vacation	flashpoint	cop_on_vacation_fp_400	Character	Guiding Hand	Martial Artist	4	{han}{han}	{han}	6			Uncommon	cop vacation martial artist	Cop on Vacation gains Guts in combat with cards controlled by opponents who control more cards than you.	
Creche of the New Flesh	flashpoint	creche_of_the_new_flesh_fp_400	Site	Architects of the Flesh	Feng Shui Site	2	{arc}	{arc}{tek}{mag}		1	7	Common	creche new flesh	You must play Creche of the New Flesh face up, and at the printed cost rather than the normal cost to play a feng shui site.	
Curio Shop	flashpoint	curio_shop_fp_400	Site	Feng Shui Site	Feng Shui Site					1	7	Common	curio shop	Takes no damage from cards that have a cost of 1 that are controlled or played by an opponent.	
Cyclone of Knives	flashpoint	cyclone_of_knives_fp_400	Event	Eaters of the Lotus	Event	0	{lot}					Uncommon	cyclone knife	You may look through your deck and toast up to five cards of your choice. Reshuffle your deck afterwards.	
Dallas Rocket	flashpoint	dallas_rocket_fp_400	Character	Jammers	Fanatic Guerilla	3	{jam}	{jam}	3			Common	dallas rocket fanatic guerilla	Ambush against <PubOrd> and <Buro> characters. Dallas Rocket Inflicts +3 damage on the target of her attack.	
Dark's Soft Whisper	flashpoint	darks_soft_whisper_fp_400	Event	Chi	Event	0	{chi}					Uncommon	dark soft whisper	Play immediately after you have made an unsucessful attack, and when an opponent is closer to fulfilling victory conditions than you are, or is one feng shui site away from victory. You gain 2 Power.	
Destroyer	flashpoint	destroyer_fp_400	Character	Eaters of the Lotus	Demon Martial Artist	4	{lot}{lot}	{lot}	4			Uncommon	destroyer demon martial artist	Unique. Cannot be sacrificed. If Destroyer is in your smoked pile at the start of your turn, Destroyer returns to play.	
Dirk Wisely's Gambit	flashpoint	dirk_wiselys_gambit_fp_400	Event	Dragons	Event	0	{dra}	{dra}{tek}				Common	dirk wisely gambit	Limited. Play when you declare an attack with only one attacker against a target controlled by an opponent who controls at least four cards. When your attacker inflicts combat damage on its target during the attack, gain 2 Power.	
Disinformation Packet	flashpoint	disinformation_packet_fp_400	Event	Architects of the Flesh	Event	2	{arc}{arc}					Uncommon	disinformation packet	Play, except during an attack, to move target back-row site to create a new location with it to the right of all current locations on its controller's side.	
Doomsday Device	flashpoint	doomsday_device_fp_400	Edge	High Tech	Edge	2	{tek}{tek}{tek}					Uncommon	doomsday device	Unique. Gain 1 Power whenever an opponent declares interception against an attack you declare. If Doomsday Device leaves play, toast a card in your burned-for-victory pile.	
Drop Troopers	flashpoint	drop_troopers_fp_400	Character	Architects of the Flesh	BuroMil Cyborgs	2	{arc}{arc}{arc}	{arc}	3			Uncommon	drop trooper buro mil cyborg	You may play Drop Troopers at no cost during an attack declared by an opponent who is one feng shui site away from fulfilling victory conditions.	
Drunken Stance	flashpoint	drunken_stance_fp_400	State	Chi	State	1	{chi}{chi}					Common	drunken stance	Any intercepting character with a Fighting score of 2 or less that is about to enter combat with subject character returns to its owner's hand.	
Dunwa Saleem	flashpoint	dunwa_saleem_fp_400	Character	Architects of the Flesh	Lodge Traitor	3	{arc}{arc}	{arc}{asc}	4			Rare	dunwa saleem lodge traitor	Unique. Turn to take control of an {asc} character that lacks resource conditions. If Dunwa attacks successfully, you may toast the top 2 cards in the deck of the target's controller.	
Encephalon Screamer	flashpoint	encephalon_screamer_fp_400	Character	Architects of the Flesh	Abomination	3		{arc}	2			Common	encephalon screamer abomination	When Encephalon Screamer turns to attack, inflict 1 point of damage on each unturned character, and on turned sites, at the location of the target of the attack.	
Ex-Commando	flashpoint	ex-commando_fp_400	Character	Dragons	Dangerous Vet	3	{dra}{dra}	{dra}	3			Common	ex commando dangerous vet	Ex-Commando unturns whenever a weapon State or Gun State is played on him.	
Fighting Spirit	flashpoint	fighting_spirit_fp_400	Event	Dragons	Event	0	{dra}					Common	fighting spirit	Toast It. Play if you have at least two {dra}  Events in your smoked pile :: Choose two of them at random. If they have the same title, toast them. Otherwise, return them to your hand.	
Fire Sled	flashpoint	fire_sled_fp_400	State	Four Monarchs	Netherworld State	0	{mon}					Common	fire sled netherworld	Vehicle. Play on a Character. Subject is not a legal target for effects generated by Sites or Edges. The rules text of any non-<Netherworld> Site targeted by subject in an attack is canceled until the end of the turn.	
Flying Windmill Kick	flashpoint	flying_windmill_kick_fp_400	State	Chi	State	2	{chi}					Common	flying windmill kick	Whenever subject character inflicts damage in combat, flip a coin twice. For each result of heads, double the damage the character inflicts.	
Fortuitous Chi	flashpoint	fortuitous_chi_fp_400	State	Chi	State	2	{chi}{chi}{chi}					Common	fortuitous chi	Play on a character you control. Subject character and all characters you control sharing a designator with it may not be damaged or removed from play by Events played by opponents, nor can these characters turn to attack characters.	
Forty-Story Inferno	flashpoint	forty-story_inferno_fp_400	Site	Unaligned	Battleground Site	0				0	5	Uncommon	forty story inferno battleground	Any player who seizes this Site gains 2 Power. If Forty-Story Inferno is in your front row, an opponent who is at least as close to fulfilling victory conditions as you are may not declare more interceptors during attacks you declare than the number of Characters with which you are currently attacking.	
Genghis X	flashpoint	genghis_x_fp_400	Character	Architects of the Flesh	BuroMil Supersoldier	5	{arc}{arc}{tek}	{arc}	8			Rare	genghis x buro mil super soldier	Unique. Genghis X has Guts when there are three or more damage counters on him.	
Gibbering Horror	flashpoint	gibbering_horror_fp_400	Character	Eaters of the Lotus	Disgusting Demon	3	{lot}{mag}	{lot}	X			Uncommon	gibbering horror disgusting demon	X = the number of Events in the smoked pile of the opponent to your left.	
Glimpse of the Abyss	flashpoint	glimpse_of_the_abyss_fp_400	Event	Eaters of the Lotus	Event	0	{lot}{lot}{lot}					Uncommon	glimpse abyss	Toast It. You gain X Power. X = the number of feng shui sites controlled by target opponent plus the number of cards in his or her burned-for-victory pile. The number of feng shui sites you need for victory is increased by one.	
Gonzo Journalist	flashpoint	gonzo_journalist_fp_400	Character	Dragons	Crazed Reporter	2		{dra}	2			Common	gonzo journalist crazed reporter	When Gonzo Journalist turns to attack, you may discard X cards and draw X cards. X = up to the number of factions that your pool and the target's controller's pool have in common.	
Gorilla Fighter	flashpoint	gorilla_fighter_fp_400	Character	Jammers	Flying Monkey	4	{jam}{jam}{tek}	{jam}{tek}	6			Uncommon	gorilla fighter flying monkey	Independent. The cost to play Gorilla Fighter is reduced by the total number of feng shui sites and characters you own that are controlled by opponents or in burned-for-victory piles.	
Grease Monkey	flashpoint	grease_monkey_fp_400	Character	Dragons	Gutsy Mechanic	1	{dra}	{dra}	1			Uncommon	grease monkey gutsy mechanic	Turn to play a vehicle State at -1 cost. Turn to heal a character that is the subject of a vehicle State.	
Hacker	flashpoint	hacker_fp_400	Character	Dragons	Gun-Totin' Techie	2		{dra}{tek}	2			Common	hacker gun totin techie	Any time Hacker is in your hand when an opponent plays an Event that steals Power from your pool or that toasts a card (or cards) other than itself, cancel that Event and put Hacker into play at no cost.	
Heart of the Rainforest	flashpoint	heart_of_the_rainforest_fp_400	Site	Feng Shui Site	Feng Shui Site					1	8	Common	heart rainforest	Heart of the Rainforest gains +2 Body for each State it is the subject of.	
Hidden Sanctuary	flashpoint	hidden_sanctuary_fp_400	Site	Feng Shui Site	Feng Shui Site					1	7	Common	hidden sanctuary	Limited. At the end of an attack you declared, you may remove X points of damage from each character you choose that participated in the attack. X = the number of Sanctuaries you control.	
Homemade Tank	flashpoint	homemade_tank_fp_400	State	Jammers	State	2	{jam}{tek}					Common	homemade tank	Vehicle. Toast It. Subject character gains Toughness: 1 and +4 Fighting. Flip a coin at the start of each of your turns. Heads: Homemade Tank is toasted.	
