Name	Set	ImageFile	Type	Faction	Subtitle	Cost	Requires	Provides	Fighting	Power	Body	Rarity	Designators	Text	Script
Abysmal Absorber	netherworld	abysmal_absorber_nw_400	Character	Eaters of the Lotus	Netherworld Demon	3	{lot}{mag}	{lot}	3			Common	abysmal absorber demon netherworld	When this card would smoke a Character with combat damage, instead toast that Character and this card gains +1 Fighting until it leaves play.	
Abysmal Deceiver	netherworld	abysmal_deceiver_nw_400	Character	Eaters of the Lotus	Demon Netherworld Infiltrator	2	{lot}	{lot}	2			Common	abysmal deceiver demon netherworld infiltrator	Unique. Turn to toast a character you own that is controlled by an opponent. You gain Power equal to the character's cost plus 1.	
Abysmal Prince	netherworld	abysmal_prince_nw_400	Character	Eaters of the Lotus	Demon Bureaucrat Mastermind	3	{lot}{lot}{mag}	{lot}	4			Common	abysmal prince demon bureaucrat mastermind	Turn and maintain to target an Edge. Target Edge can be affected by any effect that damages characters but cannot be attacked by characters and has no location. Target edge is smoked if it sustains 2 points of damage.	
Agony Grenade	netherworld	agony_grenade_nw_400	State	Architects of the Flesh	State	1	{arc}					Common	agony grenade	Weapon. When you declare an attack with subject character, sacrifice Agony Grenade to choose X characters that may not intercept subject. X = number of damage counters on subject.	
Ancestral Sanctuary	netherworld	ancestral_sanctuary_nw_400	Site	Feng Shui Site	Netherworld Feng Shui Site					1	4	Uncommon	ancestral sanctuary netherworld	Limited. If one of your feng shui sites is seized or burned, you may immediately play this site face up at no cost. Gain 5 Power if an opponent forces you to discard Ancestral Sanctuary.	
Avenging Thunder	netherworld	avenging_thunder_nw_400	Event	Four Monarchs	Event	0	{mon}					Common	avenging thunder	One-Shot. Play in response to an opponent seizing or burning-for-victory a Site you control. Choose a Character that damaged that Site this turn :: Gain power equal to that Character’s cost and toast that Character.	
Bao Chou	netherworld	bao_chou_nw_400	Character	Dragons	Avenging Ghost	4	{dra}{dra}{dra}	{dra}{mag}	X			Rare	bao chou avenging ghost	Unique. X = the number of characters in your smoked pile. Cannot turn to heal. Heals when a feng shui site you control is seized or burned.	
Biomass Reprocessing Center	netherworld	biomass_reprocessing_center_nw_400	Site	Architects of the Flesh	Netherworld Site	2	{arc}	{arc}		1	6	Common	biomass reprocessing center netherworld	Every time one of your attacking characters is smoked, you may discard a card and draw a card from your deck.	
Blade Freak	netherworld	blade_freak_nw_400	Character	Ascended	Netherworld Mercenary	3	{asc}		4			Common	blade freak netherworld mercenary	When Blade Freak enters play, he may inflict 1 point of damage on any target.	
Blanket of Darkness	netherworld	blanket_of_darkness_nw_400	Edge	Four Monarchs	Netherworld Edge	2	{mon}					Rare	blanket darkness netherworld	Unique. Turn and maintain to reduce the damage target character inflicts by 3.	
Brain Fire	netherworld	brain_fire_nw_400	Event	Four Monarchs	Event	0	{mon}{mon}					Very Common	brain fire	Play in response to an Event. Brain Fire changes the target (or targets) of that Event to another legal target (or targets).	
Brain Sucker	netherworld	brain_sucker_nw_400	Character	Architects of the Flesh	Netherworld Abomination	3	{arc}	{arc}{tek}	4			Very Common	brain sucker netherworld abomination	All <Masterminds> are cancelled.	
Bronze Sentinel	netherworld	bronze_sentinel_nw_400	Character	Dragons	Righteous Automation	2	{dra}	{dra}	2			Very Common	bronze sentinel righteous automation	During your turn, toast a feng shui site you have in play to increase Bronze Sentinel's Fighting score until the end of the turn by the number of characters in your smoked pile.	
Burn, Baby, Burn!	netherworld	burn_baby_burn_nw_400	Edge	Jammers	Edge	2	{jam}					Common	burn baby	Limited. At the end of your turn, Burn, Baby Burn! inflicts 1 point of damage on each damaged site in play.	
