Name	Set	ImageFile	Type	Faction	Subtitle	Cost	Requires	Provides	Fighting	Power	Body	Rarity	Designators	Text	Script
Adrenaline Junkie	netherworld2	adrenaline_junkie_n2	Character	Jammers	Crazy Bastard	4	{jam}{jam}	{jam}	5			Uncommon	adrenaline junkie crazy bastard	Characters with Fighting equal to or greater than Adrenaline Junkie's current Fighting cannot be declared as interceptors against him.	
Arcanorat	netherworld2	arcanorat_n2	Character	Architects of the Flesh	Hideous Monster	2	{arc}{arc}	{arc}	3			Common	arcano rat hideous monster	Ambush. Ceases attacking when no other Characters are attacking.	
Arcanotechnician	netherworld2	arcanotechnician_n2	Character	Architects of the Flesh	Buro Scientist	2	{arc}	{arc}{mag}{tek}	1			Uncommon	arcano technician buro scientist	Turn Arcanotechnician, toast a Character in your smoked pile, and choose a card in your smoked pile :: Return that card to your hand.	
Art of War	netherworld2	art_of_war_n2	Edge	Unaligned	Edge	0						Uncommon	art war	Unique. Your hand size is increased by 2. When the player to your left declares an attack, you must predict whether the attack will be successful. If you are incorrect or fail to predict, the player to your left takes control of Art of War.	
Atourina Baktiari	netherworld2	atourina_baktiari_n2	Character	Four Monarchs	Fire Mastermind	3	{mon}	{mon}{mag}	4			Rare	atourina baktiari fire mastermind	Unique. When Atourina Baktiari is damaged by an interceptor, you may inflict 1 damage on all other Characters controlled by that interceptor's controller.	
Avenging Fire	netherworld2	avenging_fire_n2	State	Four Monarchs	State	0	{mon}					Uncommon	avenging fire	Limited. Play on a Site controlled by an opponent when that opponent seizes or burns a Site you control. At the start of each player's turn, inflict 1 damage on each Character and Site at this location.	
Avenging Thunder	netherworld2	avenging_thunder_n2	Event	Four Monarchs	Event	0	{mon}					Uncommon	avenging thunder	One-Shot. Play in response to an opponent seizing or burning-for-victory a Site you control. Choose a Character that damaged that Site this turn :: Gain power equal to that Character’s cost and toast that Character.	
Back for Seconds	netherworld2	back_for_seconds_n2	Event	Dragons	Event	1	{dra}					Common	back second	Unturn target Character.	
Big Red Button	netherworld2	big_red_button_n2	Event	High Tech	Event	0	{tek}{tek}{tek}					Uncommon	big red button	Smoke all non-Edge {tek} cards you own. Inflict X damage on all Characters and Sites at the location of any card smoked in this manner. X= the number of {tek} resources required and provided by the smoked cards at that location.	
Biomass Reprocessing Center	netherworld2	biomass_reprocessing_center_n2	Site	Architects of the Flesh	Netherworld Site	3	{arc}{arc}{arc}{tek}{tek}	{arc}{tek}		2	9	Rare	biomass reprocessing center netherworld	Unique. Turn a <Scientist> Character you control and target a <Cyborg> or <Abomination> Character :: Target gains +1 Fighting until the end of the turn.	
Bite of the Jellyfish	netherworld2	bite_of_the_jellyfish_n2	Event	Ascended	Event	0	{asc}					Uncommon	bite jellyfish	Play when a Feng Shui Site is burned. Steal all the Power of the player who burned that Site. (This includes any Power gained by burning for Power.)	
Blood and Thunder	netherworld2	blood_and_thunder_n2	Event	Four Monarchs	Event	1	{mon}{mon}					Common	blood thunder	Play during an attack. Until the end of the attack, all attackers you control inflict +1 damage, and all <Thunder> attackers cannot have their damaged reduced or redirected, and inflict an additional +1 damage.	
Blood Fields	netherworld2	blood_fields_n2	Site	Unaligned	Netherworld Battleground Site	1				0	5	Uncommon	blood field netherworld battleground	Unique. Once per turn, if Blood Fields is in your front row, you may copy the rules text of target Site controlled by an opponent to Blood Fields until the end of the turn. Any player who seizes Blood Fields gains 2 Power.	
Blue Senshi Chamber	netherworld2	blue_senshi_chamber_n2	Site	Guiding Hand	Netherworld Site	2	{han}	{han}		1	6	Uncommon	blue senshi chamber netherworld	Unique. When this card enters play, choose a designator. Turn during your Main Shot :: Change the chosen designator. Turn when you declare an attack :: Target Character cannot be intercepted by Characters with the chosen designator until the end of the attack.	
Bounty	netherworld2	bounty_n2	Edge	Ascended	Killer Edge	1	{asc}{asc}					Uncommon	bounty killer	Limited. When one or more Characters you control with Assassinate smoke a Character that is the target of their attack during combat, you gain Power equal to half (round up) the target's cost.	
Brain Fire	netherworld2	brain_fire_n2	Event	Four Monarchs	Event	0	{mon}{mon}					Common	brain fire	Play in response to an Event. Choose an equal number of new and different legal targets for that Event :: These targets replace the original targets of that Event.	
Butterfly Knight	netherworld2	butterfly_knight_n2	Character	Four Monarchs	Thunder Warrior	3	{mon}	{mon}	3			Common	butterfly knight thunder warrior	If unturned, Butterfly Knight may attack without turning once during your Main Shot.	
Chiu Fa	netherworld2	chiu_fa_n2	Character	Four Monarchs	Fire Sorcerer	3	{mon}{mon}	{mon}{mag}	4			Rare	chiu fa fire sorcerer	Unique. You may ignore resource conditions when playing <Demon> Characters. Turn to play a <Demon> Character at -1 cost.	
Claws of Darkness	netherworld2	claws_of_darkness_n2	State	Four Monarchs	Triumvirate State	1	{mon}					Common	claw darkness triumvirate	Weapon. Subject Character gains +1 Fighting. If subject is still in play at the end of any turn in which it smoked one or more Characters by inflicting combat damage, you gain 1 Power.	
Cloud Walking	netherworld2	cloud_walking_n2	Event	Magic	Event	0	{mag}{mag}					Common	cloud walking	Play during an attack :: All Characters gain Mobility for purposes of intercepting that attack. All interceptors gain Toughness:1 until the end of the attack.	
Colonel Griffith	netherworld2	colonel_griffith_n2	Character	Architects of the Flesh	BuroMil Mastermind	3	{arc}{arc}	{arc}	3			Rare	colonel griffith buro mil mastermind	Unique. Turn and maintain to give target Character +X Fighting and Tactics. X= the total number of resources required and provided by that Character.	
Colonel Richtmeyer	netherworld2	colonel_richtmeyer_n2	Character	Architects of the Flesh	BuroMil Intelligence Officer	3	{arc}{arc}	{arc}	3			Rare	colonel richtmeyer buro mil intelligence officer	Unique. Characters you control at this location that have Ambush use the ability when intercepting, as well as attacking. Opponents cannot play Operation or Gambit Events.	
Conversion Drone	netherworld2	conversion_drone_n2	Character	Architects of the Flesh	Arcanowave Robot	5	{arc}{arc}{arc}{tek}	{arc}{tek}	7			Uncommon	conversion drone arcano wave robot	Toughness: 1. You cannot burn Sites whose Body is reduced to 0 by this card. When this card smokes a Character in combat, return it to play under your control. Until it leaves play, its rules text is blank, its printed Fighting and cost are 1, and it gains the designator <Abomination>.	
Cutting Loose Ends	netherworld2	cutting_loose_ends_n2	Event	Ascended	Event	0	{asc}					Uncommon	cutting loose end	One-Shot. Play any time except during an attack :: Each player, beginning with you and proceeding clockwise, may smoke 1 card other than a Feng Shui Site or Unique Character, and toast up to 3 non-Character cards in a single player's smoked pile.	
Dallas Rocket	netherworld2	dallas_rocket_n2	Character	Jammers	Fanatic Guerrilla	3	{jam}	{jam}	3			Common	dallas rocket fanatic guerrilla	Ambush against <PubOrd> and <Buro> characters. Dallas Rocket Inflicts +3 damage on the target of her attack.	
Darkness Falls	netherworld2	darkness_falls_n2	Event	Four Monarchs	Event	1	{mon}{mon}					Uncommon	darkness fall	Play when an attack is declared. When interceptors are declared during the attack, randomly choose which attacker at their location they intercept. Their controller may choose the order of chains. All illegal interceptors do not intercept at all.	
Darkness Pagoda	netherworld2	darkness_pagoda_n2	Site	Four Monarchs	Netherworld Site	3	{mon}{mon}	{mon}{mag}		1	8	Rare	darkness pagoda netherworld	Unique. At the end of any attack you declared, gain 1 Power for each player who controlled interceptors you smoked by inflicting combat damage that attack. Sacrifice a Character and turn to give target <Darkness> Character +2 Fighting until it leaves play.	
Darkness Warriors	netherworld2	darkness_warriors_n2	Character	Four Monarchs	Netherworld Soldiers	2		{mon}	2			Common	darkness warrior netherworld soldier	Sacrifice to gain 1 Power.	
DNA Mage	netherworld2	dna_mage_n2	Character	Architects of the Flesh	Occult Scientist	1		{arc}{mag}{tek}	1			Common	dna mage occult scientist	Cannot turn to attack.	
Dr. Ally Matthews	netherworld2	dr_ally_matthews_n2	Character	Architects of the Flesh	Brilliant Scientist	3	{arc}{arc}{arc}	{arc}{tek}{tek}	2			Rare	dr ally matthews brilliant scientist	Unique. Turn and target a Character or Site with X in its rules text :: Increase or decrease the value of X until the end of the turn by up to half (round down) the number of {tek} resources in your pool. This cannot reduce X below 0.	
