Name	Set	ImageFile	Type	Faction	Subtitle	Cost	Requires	Provides	Fighting	Power	Body	Rarity	Designators	Text	Script
Blade Palm	promos	blade_palm_pr	Event	Chi	Event	2	{chi}{chi}		0	0	0	Promo	blade palm	Return target card to owner's hand.	
Burned for Victory	promos	burned_for_victory_pr	Token	Unaligned	Former Feng Shui Site				0	0	0	Promo	burned victory former	This card is to be put into your Burned for Victory pile. It counts towards victory.	
Monkey on the Lamb	promos	monkey_on_the_lamb_pr	Character	Jammers	Fugitive Anarchist	4	{jam}{jam}{tek}	{jam}	6			Promo	monkey lamb fugitive anarchist		
Mountaineer	promos	mountaineer_pr	Character	Ascended	Embedded Sworn Agent	2	{asc}{asc}	{asc}	2			Promo	mountaineer embedded sworn agent		
Reinforcements	promos	reinforcements_pr	Event	Unaligned	Event	0						Promo	reinforcement		
Silver Band	promos	silver_band_pr	Character	Dragons	Legion of Supporters	3	{dra}{dra}{dra}	{dra}	5	0	0	Promo	silver band legion supporter		
The Mark of Evil	promos	the_mark_of_evil_pr	State	Eaters of the Lotus	State	0	{lot}{lot}{mag}{mag}		0	0	0	Promo	mark evil	"Unique. Schtick. Play on a Character. Sacrifice a Character :: Until the end of the turn, subject gains +X Fighting and cannot be removed from play by Events or Edges. X= the cost of the sacrificed Character."	
Kinoshita House of Pancakes	promos	kinoshita_house_of_pancakes_pr	Site	Feng Shui	Feng Shui Site					1	4	Promo	kinoshita house	"Unique. Turn to unturn target attacker. That attacker ceases attacking. This card is considered to have the same title as ""Kinoshita House."""	
Covadonga Sanctuary	promos	covadonga_sanctuary	Site	Feng Shui	Feng Shui Site						8	Promo	covadonga sanctuary	Unique. All Sanctuary sites in play gain +2 body.	
The Golden Gunman	promos	the_golden_gunman_pr	Character	Dragons	Magic Cowboy Hero	5	{dra}{dra}	{dra}{mag}	8			Promo	golden gunman magic cowboy hero		
Golden Mile	promos	golden_mile_pr	Site	Feng Shui	Feng Shui Site					1	8	Promo	golden mile		
