Name	Set	ImageFile	Type	Faction	Subtitle	Cost	Requires	Provides	Fighting	Power	Body	Rarity	Designators	Text	Script
Apprenticeship	queensgambit	apprenticeship_qg	Edge	Dragons	Edge	1	{dra}{dra}					Fixed	apprenticeship	When you play a Character, turn :: Put a "Student" Character token into play, or 2 if you  played a Hero or Master Character. The tokens have a printed Fighting of 1 and a printed cost of {dra}1.	
Average Jane	queensgambit	average_jane_qg	Character	Dragons	Blue-Collar Hero	2		{dra}{tek}	2			Fixed	average jane blue collar hero	Toughness: X. At the beginning of your turn, place a counter on this card. X = the number of counters on this card. X cannot be greater than 3.	
Band of Heroes	queensgambit	band_of_heroes_qg	Character	Dragons	Unlikely Team	4	{dra}{dra}{dra}	{dra}	1			Fixed	band heroes heroe hero unlikely team	Independent. +2 Fighting for each counter on this card. This card enters play with 3 counters on it. Once per turn, choose one: Sacrifice a Hero Character :: Add a counter to this card; or remove a counter :: Put a "Hero" Character token into play with a printed Fighting of 2, Independent, and a printed cost of {dra}2.	
Bao Ling	queensgambit	bao_ling_qg	Character	Guiding Hand	Orange Master	4	{han}{han}	{han}	6			Fixed	bao ling orange master	Unique. Play with the top card of your deck revealed. If that card requires or provides a non-{han} faction resource, all {han} Characters you control gain +2 Fighting.	
Bernie Silverman	queensgambit	bernie_silverman_qg	Character	Dragons	Maverick Cop	4	{dra}{dra}{dra}	{dra}	7			Fixed	bernie silverman maverick cop	Unique. Independent. If all opponents are closer to victory than you, or if an opponent controls a card you own, this card gains Guts and Toughness: 1.	
Big Brother Fo	queensgambit	big_brother_fo_qg	Character	Eaters of the Lotus	Hood Sorcerer	5	{lot}{lot}{lot}	{lot}{mag}{mag}	8			Fixed	big brother fo hood sorcerer	Unique. Guts. Takes no damage from Cop and Police cards. At the end of each turn, remove 1 damage from this card for each Hood card in play.	
Blood is Thicker than Water	queensgambit	blood_is_thicker_than_water_qg	Event	Ascended	Event	0	{asc}{asc}					Fixed	blood is i thicker than water	Play when you declare an attack. For each opponent, you may target an unturned Character he or she controls that shares a faction resource with an attacker. Take control of all targets until the end of the attack. All targets turn and join the attack.	
Chanting Monks	queensgambit	chanting_monks_qg	Character	Guiding Hand	Zen Pilgrims	1		{han}{chi}	1			Fixed	chanting monks monk zen pilgrims pilgrim	Cannot be the subject of States. When this card enters play, target a card you control :: Heal X damage from target. X = the number of Monk Characters you control (including this one).	
Chief Inspector Pang	queensgambit	chief_inspector_pang_qg	Character	Ascended	Sworn Cop Mastermind	3	{asc}{asc}	{asc}	3			Fixed	chief inspector pang sworn cop mastermind	Unique. Cop and Agent Characters you control gain Toughness: 1 and Tactics.	
Conspicuous Surveillance	queensgambit	conspicuous_surveillance_qg	Event	Dragons	Cop Event	1	{dra}					Fixed	conspicuous conspicuou surveillance cop	Play during any Main Shot. Reveal any number of Feng Shui Sites you control :: Play X Characters at -2 cost each. X = the number of Feng Shui Sites revealed.	
Cop on the Beat	queensgambit	cop_on_the_beat_qg	Character	Dragons	Neighborhood Responder	3	{dra}{dra}	{dra}	4			Fixed	cop beat neighborhood responder	Crisis: {dra}{dra}1. Guts. You may play this card during any Main Shot.	
Cop on the Take	queensgambit	cop_on_the_take_qg	Character	Ascended	Sworn Agent	4	{asc}	{asc}	6			Fixed	cop take sworn agent	Once per turn, when this card turns to attack or turns to heal, you may turn a card controlled by an opponent. The opponent may not turn that card in response.	
Cover Fire	queensgambit	cover_fire_qg	State	Jammers	State	0	{jam}					Fixed	cover fire	Not Cumulative. You may substitute {dra} for the resource condition of this card. Play on a Site. When an interceptor enters combat at this location, inflict 1 Unstoppable non-combat damage on the Character it is in combat with. When subject is seized, smoke this card.	
Crystal Field	queensgambit	crystal_field_qg	Site	Feng Shui Site	Netherworld Feng Shui Site					1	6	Fixed	crystal field netherworld	When an opponent who is closer to victory than you declares an attack, turn :: Gain 1 Power.	
Darkness Assassin	queensgambit	darkness_assassin_qg	Character	Eaters of the Lotus	Dark Stone Cultist	1	{lot}{mag}	{lot}{mag}	1			Fixed	darkness darknes assassin dark stone cultist	Assassinate. +2 combat damage against Characters.	
Daughter of Nu Gua	queensgambit	daughter_of_nu_gua_qg	Character	Guiding Hand	Mermaid Water Spirit	3	{han}	{han}	4			Fixed	daughter nu gua mermaid water spirit	Cannot be intercepted by {mag} or {tek} Characters.	
