Name	Set	ImageFile	Type	Faction	Subtitle	Cost	Requires	Provides	Fighting	Power	Body	Rarity	Designators	Text	Script
Bring It	redwedding	bring_it_rw	State	Dragons	State	1	{dra}{han}					Rare	bring it	Unique. Schtick. Turn to redirect all damage from a single source to subject Character. Sacrifice to give subject Guts until the end of the turn. Reload: 1	
Is That All You Got?	redwedding	is_that_all_you_got_rw	Event	Dragons	Event	1	{dra}{dra}					Common	that all you got	Choose a Character in your smoked pile with a printed numerical Fighting of 5 or less :: Return that Character to play.	
There's Always One More...	redwedding	theres_always_one_more_rw	Event	Jammers	Event	1	{jam}{jam}					Common	there always one more	Toast It. Randomly return a Character from your smoked pile to play.	
Aether Spirit	redwedding	aether_spirit_rw	Character	Purists	Invisible Construct	3	{pur}{mag}{mag}	{pur}	2			Common	aether spirit invisible construct	Stealth. +X damage, X = the number of {mag} cards you control.	
Akani Hideo	redwedding	akani_hideo_rw	Character	Four Monarchs	Ice Steward	2	{mon}{mon}	{mon}	2			Rare	akani hideo ice steward	Unique. Your effects cannot be canceled by opponents.	
Arena Warrior	redwedding	arena_warrior_rw	Character	Four Monarchs	Thunder Knight	3	{mon}	{mon}	4			Uncommon	arena warrior thunder knight	Turn and target an opponent's Character :: The two Characters enter a Faceoff.	
Armies of the Monarchs	redwedding	armies_of_the_monarchs_rw	Edge	Four Monarchs	Edge	2	{mon}{mon}					Uncommon	army monarch	All Unique Characters inflict -1 damage. All your non-Unique Characters inflict +1 damage.	
Artillery Strike	redwedding	artillery_strike_rw	Event	Architects of the Flesh	Event	1	{arc}{arc}					Common	artillery strike	Discard X {arc} cards to do two times X damage to target Character or Site. Reload: discard 1 card at random.	
Ashes of the Fallen	redwedding	ashes_of_the_fallen_rw	Event	Dragons	Event	0	{dra}{dra}{dra}					Common	ash fallen	Toast a non-Unique Character in your smoked pile to return a {dra} Event to your hand.	
Assassin Bug	redwedding	assassin_bug_rw	Character	Architects of the Flesh	Killer Abomination	1	{arc}{tek}	{arc}	1			Uncommon	assassin bug killer abomination	If Assassin Bug damages a Unique Character, smoke that Character.	
Battle Arena	redwedding	battle_arena_rw	Site	Unaligned	Battleground Site	1				0	6	Uncommon	battle arena battleground	Any player who seizes this Site gains 1 Power. While this Site is in your front row, all Characters you control gain both Toughness: 1 and +1 damage while in a Faceoff.	
Bei Tairong	redwedding	bei_tairong_rw	Character	Dragons	Lodge Traitor	3	{dra}{dra}	{dra}{asc}	4			Rare	bei tairong lodge traitor	Unique. Superleap. +1 damage to cards controlled by a player with {asc} in his or her pool.	
Big Bruiser (RW)	redwedding	big_bruiser_rw	Character	Dragons	Kicker of Butts	5	{dra}{dra}	{dra}	5			Uncommon	big bruiser kicker butt	Toughness: 2. +3 Fighting while not the subject of a State.	
Bio-Salvage	redwedding	biosalvage_rw	Edge	Architects of the Flesh	Edge	1	{arc}{arc}					Uncommon	bio salvage	Limited. Put a counter on this card when an opponent smokes a Character you control. Remove 3 counters :: Gain 1 Power.	
Black Market Connections	redwedding	black_market_connections_rw	Edge	Jammers	Edge	1	{jam}{jam}					Rare	black market connection	Limited. Toast your deck if you play or seize a Limited or Unique Site, or if one you own is revealed. When an opponent reveals or turns a Limited or Unique Site, turn to either draw four cards or gain two Power.	
Black Ops Team	redwedding	black_ops_team_rw	Character	Architects of the Flesh	Buro Assassins	4	{arc}{arc}{arc}	{arc}	6			Uncommon	black op team buro assassin	When Black Ops Team enters play, except during an attack, it must enter a Faceoff with an opponent's Character if possible. Heal Black Ops Team at the end of a Faceoff it wins.	
Blood Lust	redwedding	blood_lust_rw	Event	Four Monarchs	Event	0	{mon}					Common	blood lust	Limited. Gain Power equal to the number of damaged Characters controlled by opponents.	
Blow Things Up!	redwedding	blow_things_up_rw	Event	Jammers	Event	2	{jam}					Common	blow thing up	Smoke target Site.	
BoBo Splitter	redwedding	bobo_splitter_rw	State	Jammers	State	0	{jam}					Common	bo splitter	Weapon. Sacrifice to inflict 1 damage on every Character at subject Character's location. Reload: Jam Jam Tech 1	
Bomb Factory	redwedding	bomb_factory_rw	Site	Jammers	Site	2		{jam}{tek}		1	5	Common	bomb factory	Turn and maintain to give target Character +1 damage to Sites.	
Bonebreaker Jun	redwedding	bonebreaker_jun_rw	Character	Four Monarchs	Thunder Dome Champion	4	{mon}{mon}{mon}	{mon}	7			Rare	bonebreaker jun thunder dome champion	Unique. Toughness: 1. You may play Faceoff Events at -1 cost. Unturn Bonebreaker Jun at the end of a Faceoff he was involved in.	
Bouncing Benji	redwedding	bouncing_benji_rw	Character	Architects of the Flesh	Mass-Produced Abomination	1	{arc}{arc}	{arc}	1			Common	bouncing benji mass produced abomination	+1 damage. Reload: discard a card.	
