Name	Set	ImageFile	Type	Faction	Subtitle	Cost	Requires	Provides	Fighting	Power	Body	Rarity	Designators	Text	Script
Abysmal Wyrm	reinforcements	abysmal_wyrm_re2_400	Character	Eaters of the Lotus	Ancient Fire Demon	4	{lot}{mag}	{lot}	6			Fixed	abysmal wyrm ancient fire demon	This card heals at the end of each turn.	
Ancient Stone Arch	reinforcements	ancient_stone_arch_re2_400	Site	Feng Shui Site	Feng Shui Site					1	8	Fixed	ancient stone arch	Once per turn, when the rules text of an opponent's Feng Shui Site causes him or her to steal or gain Power, you may gain 1 Power. (This does not apply to generating Power.)	
Blood and Thunder	reinforcements	blood_and_thunder_re2_400	Event	Four Monarchs	Event	1	{mon}{mon}					Fixed	blood thunder	Play during an attack. Until the end of the attack, all attackers you control inflict +1 combat damage, and all Thunder attackers gain Unstoppable and an additional +1 combat damage.	
Bloody but Unbowed	reinforcements	bloody_but_unbowed_re2_400	Edge	Four Monarchs	Edge	1	{mon}{mon}{mon}					Fixed	bloody unbowed	Damaged Characters you control gain Ambush.	
Buddhist Gardener	reinforcements	buddhist_gardener_re2_400	Character	Guiding Hand	Master Geomancer	2	{han}	{han}{chi}	2			Fixed	buddhist gardener master geomancer	Turn and maintain and target a Site :: Cancel target. Turn and target a Site :: Heal up to 2 damage from target.	
Chi Detachment	reinforcements	chi_detachment_re2_400	State	Magic	State	1	{mag}{mag}{mag}					Fixed	chi detachment	Play on a Character during any Main Shot. Subject is canceled and provides no resources.	
Chin Ken (RNF)	reinforcements	chin_ken_re2_400	Character	Guiding Hand	Kung Fu Master	4	{han}{han}{han}	{han}{chi}{chi}	7			Fixed	chin ken kung fu master	Unique. Once per turn, choose an opponent's Character at this location :: This card gains the rules text of that Character until the end of the turn.	
Circle Walking	reinforcements	circle_walking_re2_400	State	Guiding Hand	State	1	{han}{chi}					Fixed	circle walking	Play on a Character. Subject may not be intercepted by Characters whose cost is less than or equal to subject's printed cost.	
Cop on the Edge	reinforcements	cop_on_the_edge_re2_400	Character	Dragons	Hard Target	4	{dra}{dra}	{dra}	6			Fixed	cop hard target	Guts. Unstoppable.	
Counterstrike	reinforcements	counterstrike_re2_400	Event	Ascended	Event	0	{asc}{asc}					Fixed	counterstrike	Play when an opponent smokes a card you control. Target that opponent :: Target must discard three cards at random.	
Covert Strike Squad	reinforcements	covert_strike_squad_re2_400	Character	Ascended	Sworn Ninjas	3	{asc}	{asc}	4			Fixed	covert strike squad sworn ninja ninjas	Tactics. When this card enters play, target a Character :: Turn target and inflict 2 Unstoppable non-combat damage on it.	
Dim Mak (RNF)	reinforcements	dim_mak_re2_400	State	Chi	State	1	{chi}					Fixed	dim mak	Play on a Character. Subject gains +1 Fighting and Unstoppable. The next State you play on subject may be played at -1 cost.	
Dragon Hideout	reinforcements	dragon_hideout_re2_400	Site	Dragons	Netherworld Junkyard Site	2	{dra}	{dra}{tek}		1	6	Fixed	dragon hideout netherworld junkyard	Turn and mantain and target a Netherworld, Hero or Techie Character you control :: Target gains +1 Fighting.	
Endless Corridor (RNF)	reinforcements	endless_corridor_re2_400	Site	Feng Shui Site	Netherworld Feng Shui Site					1	6	Fixed	endles endless corridor netherworld	Limited. Turn and target a player :: Rearrange that player's Site structure. This cannot move a Site to a position that was not previously occupied. This may change the target of an attack.	
Enhanced Banana	reinforcements	enhanced_banana_re2_400	State	Jammers	Experimental State	0	{jam}{jam}					Fixed	enhanced banana experimental	Weapon. Not Cumulative. Play on a Character. Subject gains +1 Fighting. Sacrifice this card :: Subject gains +2 Fighting until the end of the turn.	
Fighting Spirit (RNF)	reinforcements	fighting_spirit_re2_400	Event	Dragons	Event	0	{dra}					Fixed	fighting spirit	Toast It. Play if you have at least two {dra}  Events in your smoked pile :: Choose two of them at random. If they have the same title, toast them. Otherwise, return them to your hand.	
Flying Guillotine (RNF)	reinforcements	flying_guillotine_re2_400	State	Eaters of the Lotus	State	0	{lot}{lot}					Fixed	flying guillotine	Weapon. Play on a Character. Sacrifice this card and target a Character at subject's location with Fighting of 2 or less :: Smoke target. Reload: {lot} {lot} {lot} 1.	
Fortune Favors the Bold	reinforcements	fortune_favors_the_bold_re2_400	Event	Dragons	Event	0	{dra}{dra}{dra}					Fixed	fortune favor favors bold	Play in response to an opponent's Event that targets a Character you control :: Unturn target and it is not affected by the Event.	
Fortune of the Turtle (RNF)	reinforcements	fortune_of_the_turtle_re2_400	State	Chi	State	1	{chi}					Fixed	fortune turtle	Schtick. Play on a Character. Subject gains Immunity to opponents' Events.	
Green Master	reinforcements	green_master_re2_400	Character	Guiding Hand	Superior Martial Artist	5	{han}{han}	{han}{chi}	8			Fixed	green master super ior martial artist	Toughness: 1. Discard a card :: This card gains +1 Fighting until the end of the turn.	
Green Snake and White Snake	reinforcements	green_snake_and_white_snake_re2_400	Character	Eaters of the Lotus	Demon Sisters	5	{lot}{lot}{lot}{mag}	{lot}{mag}	8			Fixed	green snake white demon sister sisters	Unique. Assassinate. Regenerate. When 3 or more damage is healed from this card at one time, target an opponent's Character :: Smoke target.	
Huan Ken	reinforcements	huan_ken_re2_400	Character	Four Monarchs	Thunder and Lightning Commander	6	{mon}{mon}{mon}	{mon}	9			Fixed	huan ken thunder lightning commander	Unique. While unturned, this card cannot be the target of Events and it may attack without turning once during your Main Shot.	
