Name	Set	ImageFile	Type	Faction	Subtitle	Cost	Requires	Provides	Fighting	Power	Body	Rarity	Designators	Text	Script
Is That All You Got? (RL)	reloaded	is_that_all_you_got_rld_400	Event	Dragons	Event	1	{dra}{dra}		0	0	0	Fixed	that all you got	Choose a Character in your smoked pile with a printed numerical Fighting of 5 or less :: Return that Character to play.	
Abaddon the Destroyer	reloaded	abaddon_the_destroyer_rld_400	Character	Eaters of the Lotus	Corrosive Demon	4	{lot}{lot}{lot}{mag}	{lot}	7	0	0	Fixed	abaddon destroyer corrosive demon	Unique. While this card is attacking, any Character it smokes is toasted instead. When a Character smokes or toasts this card, that Character gains -2 Fighting and is canceled until it leaves play.	
Arctic Fortress (RL)	reloaded	arctic_fortress_rld_400	Site	Feng Shui Site	Feng Shui Site	0			0	1	8	Fixed	arctic fortress	Reduce to 0 all damage inflicted on this card from Characters that are the subject of one or more States.	
Avenging Thunder (RL)	reloaded	avenging_thunder_rld_400	Event	Four Monarchs	Event	0	{mon}{mon}		0	0	0	Fixed	avenging thunder	One-Shot. Play in response to an opponent seizing or burning for victory a Site you control. Choose a Character that damaged that Site this turn :: Gain Power equal to that Character's cost and toast the Character.	
Beaumains, the Mongrel Knight	reloaded	beaumains_the_mongrel_knight_rld_400	Character	Four Monarchs	Lost Herald of the Thunder King	4	{mon}{mon}	{mon}	6	0	0	Fixed	beaumains mongrel knight lost herald thunder king	Unique. Toughness: 3 against non-Unique cards. Non-Site cards you own gain Loyalty.	
Big Bruiser (RL)	reloaded	big_bruiser_rld_400	Character	Dragons	Kicker of Butts	5	{dra}{dra}	{dra}	5	0	0	Fixed	big bruiser kicker butts	Toughness: 2. +3 Fighting while not the subject of a State.	
Black Belt Rebels (RL)	reloaded	black_belt_rebels_rld_400	Character	Guiding Hand	Fanatic Nationalists	3	{han}	{han}	4	0	0	Fixed	black belt rebels fanatic nationalists	When an opponent who is closer to victory than you declares an attack on a card you control, you may play this card from your smoked pile at -2 cost.	
Butterfly Knight (RL)	reloaded	butterfly_knight_rld_400	Character	Four Monarchs	Thunder Warrior	3	{mon}	{mon}	3	0	0	Fixed	butterfly knight thunder warrior	If unturned, Butterfly Knight may attack without turning once during your Main Shot.	
Cabinet Minister (RL)	reloaded	cabinet_minister_rld_400	Character	Ascended	Sworn Politician	1	{asc}	{asc}	1	0	0	Fixed	cabinet minister sworn politician	Turn and maintain and target an Edge :: Cancel or take control of target.	
Chinese Doctor (RL)	reloaded	chinese_doctor_rld_400	Character	Dragons	Wise Physician	1	{dra}	{dra}	1	0	0	Fixed	chinese doctor wise physician	Turn and target a Character :: Heal target.	
Chizu (RL)	reloaded	chizu_rld_400	State	Jammers	State	1	{jam}		0	0	0	Fixed	chizu	Play on a Netherworld Site you control. All {chi} and {mag} cards are canceled while at this location. Reload: 1.	
Difficulty at the Beginning (RL)	reloaded	difficulty_at_the_beginning_rld_400	Event	Guiding Hand	Event	1	{han}		0	0	0	Fixed	difficulty beginning	Play in response to an opponent playing a card :: Cancel and toast that card. That opponent may pay 1 Power in response to cancel this Event.	
Dirty Tricks (RL)	reloaded	dirty_tricks_rld_400	Event	Ascended	Event	0	{asc}{asc}		0	0	0	Fixed	dirty tricks	Target two opponents :: Each looks at the other's hand, and must secretly choose a card to force him or her to discard.	
Eagle Mountain (RL)	reloaded	eagle_mountain_rld_400	Site	Feng Shui Site	Feng Shui Site	0			0	1	6	Fixed	eagle mountain	While this card is revealed and in your front row, Characters who attacked from this location have Toughness: 1 until the end of the attack.	
Eight Pillars of Heaven Array (RL)	reloaded	eight_pillars_of_heaven_array_rld_400	Event	Guiding Hand	Event	X	{han}{han}{chi}		0	0	0	Fixed	eight pillars heaven array	Limited. Target X Characters you control that share a designator :: Each Character gains +2 combat damage and Toughness: 1 until the end of the turn. X must be at least 2.	
Evil Twin (RL)	reloaded	evil_twin_rld_400	Character	Eaters of the Lotus	Sinister Sibling	3	{lot}{lot}	{lot}	0	0	0	Fixed	evil twin sinister sibling	"Uncopyable. When Evil Twin enters play, it copies the printed Fighting, rules text and restrictions of another Character in play. Evil Twin's title becomes ""Evil Twin of (Character's title)"" and its subtitle becomes ""Sinister Sibling of (Character's subtitle)."""	
Feng Kan (RL)	reloaded	feng_kan_rld_400	Character	Eaters of the Lotus	Wind Demon	4	{lot}{lot}{mag}	{lot}{mag}	5	0	0	Fixed	feng kan wind demon	You may play Feng Kan at -1 cost for each opponent who controls more Characters than you do.	
Golden Comeback (RL)	reloaded	golden_comeback_rld_400	Event	Dragons	Event	2	{dra}		0	0	0	Fixed	golden comeback	Choose a Character in your smoked pile :: Return that Character to play.	
Hall of Portals (RL)	reloaded	hall_of_portals_rld_400	Site	Feng Shui Site	Netherworld Feng Shui Site	0			0	1	8	Fixed	hall portals netherworld	Turn and maintain and choose a Site :: Characters, whether turned or unturned, at this location and that of the chosen Site, may change location between the two without turning.	
