Name	Set	ImageFile	Subtitle	Cost	Requires	Provides	Fighting	Power	Body	Text	Flavor	Comments	Artist	Type	Category	Edition	NoMax	Designators
Ancestral Sanctuary (1)	netherworld	ancestral_sanctuary_nw	Netherworld Feng Shui Site	0			0	1	4	Limited.  If one of your feng shui sites is seized or burned, you may immediately play this site face up at no cost.  Gain 5 Power if an opponent forces you to discard Ancestral Sanctuary.			Margaret Organ-Kean	Site	Feng Shui Site	Uncommon	N	 ancestral sanctuary netherworld 
Ancestral Tomb (2)	standard	ancestral_tomb_standard	Feng Shui Site	0			0	1	5	Ancestral Tomb's Body is increased by the number of characters in your smoked pile.  While Ancestral Tomb has damage counters on it, it does not count toward fulfilling its controller's victory conditions.			Kaja &amp; Phil Foglio	Site	Feng Shui Site	Very Common	N	 ancestral tomb 
Ancient Temple (3)	standard	ancient_temple_standard	Feng Shui Site	0			0	1	5	Any character that is intercepted while attacking Ancient Temple inflicts no damage on Ancient Temple.			Kumi Yamashita	Site	Feng Shui Site	Very Common	N	 ancient temple 
Auspicious Termites (4)	standard	auspicious_termites_standard	Feng Shui Site	0			0	1	5	Cannot be burned.  If smoked, Auspicious Termites returns to its owner's hand.			Ken Meyer Jr.	Site	Feng Shui Site	Very Common	N	 auspiciou auspicious termit termite termites 
Birdhouse Cafe (5)	flashpoint	birdhouse_cafe_fp	Feng Shui Site	0			0	1	7	If, at the end of your turn, an opponent is at least as close to fulfilling victory conditions as you are, characters that participated in attacks you declared this turn unturn.			Melissa Benson	Site	Feng Shui Site	Common	N	 birdhouse cafe 
Blessed Orchard (6)	standard	blessed_orchard_standard	Feng Shui Site	0			0	1	7	Whenever a player declares an attack on Blessed Orchard, transfer 1 Power from his or her pool to yours.	Soil fed by cherry blosoms absorbs hostile energies.		Richard Thomas	Site	Feng Shui Site	Very Common	N	 blessed orchard 
Cave Network (7)	standard	cave_network_standard	Feng Shui Site	0			0	1	6	If an attack is declared against Cave Network when you have no characters in play, you may turn Cave Network to play a character with a cost of 3 or less at no cost.You may play a character in this manner during an opponent's turn.			Edward Beard, Jr.	Site	Feng Shui Site	Very Common	N	 cave network 
City Park (8)	flashpoint	city_park_fp	Feng Shui Site	0			0	1	8	City Park heals at the end of the turn it is revealved. You may put City Park into play face up at no cost when a site you control is burned.		Ruling: City Park does not heal when played face up. Feng shui sites played face up are not considered "revealed". Note: Feng shui sites cannot normally be played face up.	Douglas Shuler	Site	Feng Shui Site	Common	N	 city park 
City Square (9)	standard	city_square_standard	Feng Shui Site	0			0	1	6	Unique.  Turn to redirect the damage inflicted on target site from a single source to any site you control.			Ken Meyer Jr.	Site	Feng Shui Site	Rare	N	 city square 
Curio Shop (10)	flashpoint	curio_shop_fp	Feng Shui Site	0			0	1	7	Takes no damage from cards that have a cost of 1 that are controlled or played by an opponent.	"You've gotta have good chi to keep this much crockery intact."		Phil Foglio	Site	Feng Shui Site	Common	N	 curio shop 
