Name	Set	ImageFile	Type	Faction	Subtitle	Cost	Requires	Provides	Fighting	Power	Body	Rarity	Designators	Text	Script
I Will Avenge You!	shaolinshowdown	i_will_avenge_you_ss	Event	Dragons	Event	1	{dra}{dra}					Common	i will avenge you	Limited. Play when a Character you control is smoked by an attacker or Event controlled by an opponent. Search through your deck for a Character. Show that card to your opponents and put it into your hand. Reshuffle.	
"Monkey" Chang	shaolinshowdown	monkey_chang_ss	Character	Ascended	Transformed Martial Artist	5	{asc}{asc}	{chi}	7			Rare	monkey chang transformed martial artist	Unique. When "Monkey" Chang turns to attack, you may choose two Characters in play :: those Characters cannot intercept him during this attack.	
Time to Kick Ass!	shaolinshowdown	time_to_kick_ass_pr	Event	Dragons	Event	0	{dra}{dra}					Promo	time kick ass	Play when an attack is declared against a card you control :: Unturn all your Characters.	
Try My Kung Fu!	shaolinshowdown	try_my_kung_fu_ss	Event	Guiding Hand	Event	0	{han}{han}					Common	try my kung fu	Not cumulative. Target <Monk>, <Master>, or <Martial> Character gains +1 Fighting and Toughness: 1 until the end of the turn.	
18 Bronze Men	shaolinshowdown	18_bronze_men_ss	State	Guiding Hand	State	2	{han}{han}					Uncommon	18 bronze man	Limited. Play on a front-row Site. All non-Unique <Shaolin>, <Martial>, and <Kung> <Fu> Characters you control gain +1 Fighting.	
Ancient Grove	shaolinshowdown	ancient_grove_ss	Site	Chi	Site	2		{chi}{chi}		1	5	Common	ancient grove		
Ancient Monument	shaolinshowdown	ancient_monument_ss	Site	Feng Shui Site	Feng Shui Site					1	12	Common	ancient monument	Inflict 1 damage on this Site when an attack is declared against it.	
Bear vs. Fox	shaolinshowdown	bear_vs_fox_ss	Event	Guiding Hand	Event	1	{han}{han}					Uncommon	bear v fox	Faceoff. Turn a Character you control and target an opponent's Character with Fighting no lower than two less than yours. The winner may play one Event this turn, at no cost and ignoring resource conditions, from the loser's smoked pile.	
Big Mack	shaolinshowdown	big_mack_ss	Character	Dragons	Bar-Room Brawler	4	{dra}{dra}{dra}	{dra}	6			Rare	big mack bar room brawler	Unique. Toughness: 1. Inflicts +3 damage on Sites.	
Butterfly Swords	shaolinshowdown	butterfly_swords_ss	State	Chi	State	1	{chi}					Common	butterfly sword	Weapon. Subject Character inflicts +3 damage.	
Carnival of Carnage	shaolinshowdown	carnival_of_carnage_ss	Event	Dragons	Event	1	{dra}					Common	carnival carnage	Until the end of the turn, when any Character is smoked, you may inflict 1 damage on any Character in play. Each damage inflicted by Carnival of Carnage is considered a separate source of damage.	
Charge of the Rhino	shaolinshowdown	charge_of_the_rhino_ss	Character	Ascended	Lodge Enforcer	4	{asc}{asc}	{asc}	6			Uncommon	charge rhino lodge enforcer	When Charge of the Rhino smokes a Character by inflicting combat damage, you may inflict 1 damage on any card at its location.	
Charmed Life	shaolinshowdown	charmed_life_ss	State	Dragons	State	1	{dra}					Uncommon	charmed life	Subject Character is not affected by effects that would smoke it. Subject can still be smoked due to damage.	
Chen Sho Kung	shaolinshowdown	chen_sho_kung_ss	Character	Guiding Hand	Master Swordsman	5	{han}{han}{han}{han}	{han}	6			Rare	chen sho kung master sword man	Unique. Once per turn, you may sacrifice a <Sword> State on Chen Sho Kung to reduce all damage dealt to him by a single source to 0. All <Swordsman> Characters you control gain +1 Fighting.	
Chinese Doctor	shaolinshowdown	chinese_doctor_ss	Character	Dragons	Wise Physician	1	{dra}	{dra}	1			Common	chinese doctor wise physician	Turn and target a Character :: Heal target.	
Coil of the Snake	shaolinshowdown	coil_of_the_snake_ss	Character	Ascended	Lodge Assassin	3	{asc}{asc}	{asc}	4			Common	coil snake lodge assassin	Stealth. When you turn Coil of the Snake to attack, you may discard and draw a card.	
Commander Corliss	shaolinshowdown	commander_corliss_ss	Character	Architects of the Flesh	TacOps Officer	2	{arc}{arc}{arc}	{arc}	6			Rare	commander corliss tac op officer	Unique. Can only be played at any time during an opponent's Main Shot. You do not generate any Power during your next Establishing Shot after you play this card.	
Contingency Plans	shaolinshowdown	contingency_plans_ss	Event	Ascended	Event	0	{asc}{asc}{asc}					Uncommon	contingency plan	Limited. Play when a Feng Shui Site you control is seized or burned :: Play a Feng Shui Site face-up at no cost.	
Dark's Soft Whisper	shaolinshowdown	darks_soft_whisper_ss	Event	Chi	Event	0	{chi}					Common	dark soft whisper	Play when an attack you declared fails and an opponent is one Feng Shui Site away from victory or closer to victory than you. Gain 2 Power.	
Doctor Shen	shaolinshowdown	doctor_shen_ss	Character	Dragons	Martial Artist	5	{dra}{dra}	{dra}{chi}	7			Rare	doctor shen martial artist	Unique. Toughness: 1. At the end of combat, you may heal one damage from any other Character for each combat damage he inflicted on a Character.	
Dragon Boat Festival	shaolinshowdown	dragon_boat_festival_pr	Edge	Guiding Hand	Edge	1	{han}{han}{han}					Promo	dragon boat festival	Limited. Comes into play turned. While this card is unturned, each player's hand size is increased by 2.	
Dragon Dojo	shaolinshowdown	dragon_dojo_ss	Site	Dragons	Site	2		{dra}		1	5	Common	dragon dojo	You may draw a card when you play a <Student>, <Master>, or <Teacher> Character at this location. This effect is not cumulative.	
Dragon Mountain	shaolinshowdown	dragon_mountain_ss	Site	Feng Shui Site	Feng Shui Site					1	7	Rare	dragon mountain	Unique. Toughness: 1.	
Eagle vs. Snake	shaolinshowdown	eagle_vs_snake_ss	Event	Guiding Hand	Event	1	{han}{han}					Uncommon	eagle v snake	Faceoff. Turn a Character you control and target an opponent's Character with Fighting no lower than two less than yours. The winner may draw three cards.	
Elephant Gun	shaolinshowdown	elephant_gun_pr	State	Unaligned	State	2						Promo	elephant gun	Weapon. Subject Character inflicts +5 damage.	
Faked Death	shaolinshowdown	faked_death_ss	Event	Ascended	Event	0	{asc}					Common	faked death	Return a Character from your smoked pile to your hand.	
Feng Kan	shaolinshowdown	feng_kan_ss	Character	Eaters of the Lotus	Wind Demon	4	{lot}{lot}{mag}	{lot}{mag}	5			Uncommon	kan wind demon	You may play Feng Kan at -1 cost for each opponent who controls more Characters than you do.	
Fire Infiltrator	shaolinshowdown	fire_infiltrator_ss	Character	Four Monarchs	Netherworld Subversive	2	{mon}	{mon}	2			Common	fire infiltrator netherworld subversive	+1 Fighting if you have {chi} resources in your pool.	
Fist of the Bear	shaolinshowdown	fist_of_the_bear_ss	Character	Ascended	Lodge Enforcer	4	{asc}{asc}	{asc}	6			Uncommon	fist bear lodge enforcer	Toughness: 1.	
Flying Kick	shaolinshowdown	flying_kick_ss	Event	Dragons	Event	1	{dra}					Common	flying kick	Target Character gains Superleap until the end of the turn.	
Flying Monkey Squad	shaolinshowdown	flying_monkey_squad_ss	Character	Jammers	Guerrilla Gorillas	3	{jam}{jam}{jam}{tek}	{jam}{tek}	3			Common	flying monkey squad guerrilla gorilla	Independent. Superleap.	
Fong Sai Yuk	shaolinshowdown	fong_sai_yuk_ss	Character	Guiding Hand	Martial Artist	6	{han}{han}{han}{han}	{han}{chi}	9			Rare	fong sai yuk martial artist	Unique. Superleap. The rules text of the back-row Site at the location of the target of Fong Sai Yuk's attack is canceled until the end of the turn.	
Forgotten Shrine	shaolinshowdown	forgotten_shrine_ss	Site	Feng Shui Site	Feng Shui Site					1	6	Common	forgotten shrine	Turn and maintain and target an opponent's Site :: That Site takes two damage when it is turned.	
Fortune of the Turtle	shaolinshowdown	fortune_of_the_turtle_ss	State	Chi	State	1	{chi}					Uncommon	fortune turtle	Subject Character is not affected by Events played by an opponent.	
Four Sorrows Island	shaolinshowdown	four_sorrows_island_ss	Site	Feng Shui Site	Feng Shui Site					1	6	Rare	four sorrow island	Unique. Cannot be healed except when seized. Except during an attack on this card, turn and inflict 2 damage on it and target a Character :: Target may not intercept until the end of the turn.	
General Senggelinqin	shaolinshowdown	general_senggelinqin_ss	Character	Ascended	Manchu Military Mastermind	4	{asc}{asc}{asc}	{asc}	7			Rare	general senggelinqin manchu military mastermind	Unique. Tactics. Once during your Main Shot, you may sacrifice a <Soldier> Character to play a <Commandant>, <Colonel>, or <Officer> Character from your hand or smoked pile at -X cost. X= the cost of the sacrificed Character.	
Geoscan Report	shaolinshowdown	geoscan_report_ss	Event	Architects of the Flesh	Event	1	{arc}{arc}					Common	geoscan report	Limited. Target a Site controlled by an opponent. Reveal that Site. Characters you control inflict +2 damage on that Site until the end of the turn.	
Gong Wei	shaolinshowdown	gong_wei_ss	Character	Guiding Hand	Reformed Bandit	4	{han}{han}	{han}	6			Rare	gong wei reformed bandit	Unique. Once during your Main Shot, you may sacrifice a <Rebel>, <Rabble>, or <Peasant> Character to return a {han} Event from your smoked pile to your hand.	
Hartwell Iron Works	shaolinshowdown	hartwell_iron_works_ss	Site	Feng Shui Site	Feng Shui Site					1	6	Rare	hartwell iron work	Unique. When any Character enters combat with this card, inflict 1 damage on that Character. (Before combat damage is dealt.)	
Healing Earth	shaolinshowdown	healing_earth_ss	Event	Chi	Event	0	{chi}					Common	healing earth	Remove up to X damage from cards you control. X= the number of {chi} resources in your pool.	
Path of the Healthy Tiger	shaolinshowdown	path_of_the_healthy_tiger_ss	State	Chi	State	1	{chi}{chi}					Uncommon	path healthy tiger	Subject Character gains Guts while it has more than two damage on it. You may substitute {asc} for {chi} when playing this card on a <Transformed> or <Lodge> Character.	
Heaven's Peak	shaolinshowdown	heavens_peak_ss	Site	Feng Shui Site	Feng Shui Site					1	8	Rare	heaven peak	Unique. You may draw a card when an opponent turns a Character to change location or to generate an effect.	
Hermes	shaolinshowdown	hermes_ss	Character	Architects of the Flesh	Purist Agent	1	{arc}{arc}	{arc}{mag}	1			Rare	hermes purist agent	Unique. Turn to draw 1 card, or 3 cards if"Malachi"is in play.	
Homemade Grenade	shaolinshowdown	homemade_grenade_ss	State	Jammers	State	1	{jam}					Common	homemade grenade	Weapon. Sacrifice Homemade Grenade and flip 3 coins :: Inflict one damage on all opponents' Characters at subject Character's location for each Heads.	
Iala Mane	shaolinshowdown	iala_mane_ss	Character	Dragons	Blind Master	4	{dra}{dra}{dra}	{dra}{chi}	3			Rare	iala mane blind master	Unique. Iala Mane can attack during an opponent's turn. All {dra} Characters you control gain +1 Fighting and Independent.	
Impoverished Monk	shaolinshowdown	impoverished_monk_ss	Character	Guiding Hand	Dedicated Martial Artist	2	{han}{han}	{han}{chi}	2			Common	impoverished monk dedicated martial artist	Gains Toughness: 1 and Superleap while you have no Power. You may not play non-{chi} States on Impoverished Monk.	
Infernal Plot	shaolinshowdown	infernal_plot_ss	Event	Eaters of the Lotus	Event	3	{lot}{lot}{lot}					Uncommon	infernal plot	One-Shot. Play during your Main Shot. Target opponent discards his or her hand. Choose X cards from that player's smoked pile, and put them in his or her hand. X= the number of cards discarded.	
Instrument of the Hand	shaolinshowdown	instrument_of_the_hand_ss	Character	Guiding Hand	Martial Artist	2		{han}{chi}	2			Common	instrument hand martial artist		
Into the Light	shaolinshowdown	into_the_light_ss	Event	Guiding Hand	Event	1	{han}					Common	light	Return one card from your smoked pile to your hand.	
Invincible Chi	shaolinshowdown	invincible_chi_ss	Event	Chi	Event	1	{chi}{chi}{chi}					Uncommon	invincible chi	Play during your turn and choose States, Edges, or Sites. Cancel all cards of that type until the end of the turn.	
Jade Wheel Society	shaolinshowdown	jade_wheel_society_ss	Character	Ascended	Secret Society	1		{asc}	1			Common	jade wheel society secret	Sacrifice Jade Wheel Society, except during an attack, to discard up to two cards.	
