Name	Set	ImageFile	Type	Faction	Subtitle	Cost	Requires	Provides	Fighting	Power	Body	Rarity	Designators	Text	Script
Agathon's Deputies	shurikensandsixguns	agathons_deputies_ssg	Character	Eaters of the Lotus	Demon Cops	2	{lot}	{lot}	3	0	0	Common	agathon deputy demon cop	Regenerate. If you control no other <Demon>, <Police>, or <Cop> cards at the end of your Main Shot, smoke this card.	
Agent Tanaka	shurikensandsixguns	agent_tanaka_ssg	Character	Architects of the Flesh	CDCA Ninja	3	{arc}	{arc}	4	0	0	Rare	agent tanaka cdca ninja	Unique. Ambush. Assassinate.	
Anastasia	shurikensandsixguns	anastasia_ssg	Character	Four Monarchs	Orphan Ice Ward	4	{mon}{mon}{mon}{mag}	{mon}{mag}	7	0	0	Rare	anastasia orphan ice ward	Unique. When this card smokes a Character by inflicting combat damage, you may heal a card. (Including this one.)	
Arcanovirus	shurikensandsixguns	arcanovirus_ssg	Event	Architects of the Flesh	Event	1	{arc}{arc}		0	0	0	Uncommon	arcano virus	Target a Character with a printed numerical Fighting of 5 or less :: Smoke target. Alternately, pay 2 additional Power :: Smoke all Characters with a printed numerical Fighting of 5 or less.	
Avenging Darkness	shurikensandsixguns	avenging_darkness_ssg	Character	Four Monarchs	Vengeance Spirit	0	{mon}	{mon}	2	0	0	Uncommon	avenging darkness vengeance spirit	Unique. Uncopyable. Ambush. Play only when an opponent burns a Feng Shui Site you control. If Avenging Darkness would successfully inflict combat damage on a card, toast that card instead.	
Bait and Switch	shurikensandsixguns	bait_and_switch_ssg	Event	Syndicate	Event	1	{syn}{syn}		0	0	0	Common	bait switch	Play during an attack you declared, when you no longer control any attackers. Turn a Character you control :: The attack does not end. Instead, that Character becomes an attacker.	
Big Red Barn	shurikensandsixguns	big_red_barn_ssg	Site	Feng Shui Site	Feng Shui Site	0			0	1	7	Common	big red barn	+2 Body for each Character you control.	
Black Ophir	shurikensandsixguns	black_ophir_ssg	Character	Jammers	Gorilla Bartender	5	{jam}{jam}{jam}	{jam}	7	0	0	Rare	black ophir gorilla bartender	Unique. Cannot be intercepted by Characters whose Fighting is lower than this card's.	
Blasting Crew	shurikensandsixguns	blasting_crew_ssg	Character	Jammers	Railroad Workers	3	{jam}	{jam}	4	0	0	Common	blasting crew railroad worker	When this card turns to attack, inflict 2 damage on all Sites at the location of its target.	
Blood Eagles	shurikensandsixguns	blood_eagles_ssg	Character	Architects of the Flesh	Abomination Scouts	3	{arc}	{arc}	4	0	0	Common	blood eagle abomination scout	When this card turns to attack, you may give another Character Ambush and +1 damage until the end of the attack.	
Bloody Herd	shurikensandsixguns	bloody_herd_ssg	Character	Eaters of the Lotus	Vampire Cattle	3	{lot}{lot}	{lot}	4	0	0	Uncommon	bloody herd vampire cattle	Toughness: 1. Prior to combat with a Character, you may copy the rules text of that Character onto this card until it leaves play or until it copies another card this way.	
Boiler Room	shurikensandsixguns	boiler_room_ssg	Site	Jammers	Mad Science Site	2	{jam}	{jam}	0	1	5	Uncommon	boiler room mad science	Limited. If this Site is in your front row, turn it and discard a card at random :: Gain 1 Power.	
BoneChill	shurikensandsixguns	bonechill_ssg	Character	Architects of the Flesh	Reprogrammed Pawn	4	{arc}{arc}	{arc}	6	0	0	Uncommon	bone chill reprogrammed pawn	When this card enters play, you may immediately toast a Character in an opponent's smoked pile. This card's printed rules text copies that of the toasted Character.	
Boot Hill	shurikensandsixguns	boot_hill_ssg	Site	Feng Shui Site	Feng Shui Site	0			0	1	7	Uncommon	boot hill	Limited. If any opponent is closer to victory than you, turn and discard a Character that is not a foundation :: Gain 1 Power.	
Bountiful Fields	shurikensandsixguns	bountiful_fields_ssg	Site	Feng Shui Site	Feng Shui Site	0			0	1	8	Uncommon	bountiful field	Once per turn when you play a State, you may draw a card.	
Bridge of Birds	shurikensandsixguns	bridge_of_birds_ssg	Edge	Seven Masters	Edge	0	{sev}{sev}		0	0	0	Uncommon	bridge bird	You may play Characters during other players' Main Shots.	
Cavalry Regiment	shurikensandsixguns	cavalry_regiment_ssg	Character	Dragons	Horseback Heroes	3	{dra}{dra}	{dra}	3	0	0	Common	cavalry regiment horseback hero	Independent. When you play this card from your hand, you may choose a Character :: Unturn that Character, and it gains Independent until the end of the turn.	
Celestials	shurikensandsixguns	celestials_ssg	Character	Guiding Hand	Chinatown Secret Society	2		{han}{chi}	2	0	0	Common	celestial chinatown secret society	You may play this card at no cost during an attack by an opponent who is one Feng Shui Site away from victory. +1 Fighting while you control any Unique Characters.	
Chain Lightning	shurikensandsixguns	chain_lightning_ssg	Event	Four Monarchs	Thunder Event	2	{mon}{mag}		0	0	0	Uncommon	chain lightning thunder	Target four Characters :: Inflict 4 damage on one, 3 on another, 2 on another, and 1 on the last.	
Children of the Sharp Knives	shurikensandsixguns	children_of_the_sharp_knives_ssg	Character	Purists	Self-Destructive Cultists	2	{pur}	{pur}	4	0	0	Common	child sharp knife self destructive cultist	Cannot turn to heal. Inflict 1 damage on this card at the end of your Main Shot.	
Corporate Hacker	shurikensandsixguns	corporate_hacker_ssg	Character	Syndicate	Sleep-Deprived Operator	1	{syn}	{syn}{tek}	1	0	0	Uncommon	corporate hacker sleep deprived operator	Turn to look at the top three cards of an opponent's deck. You may put one of those cards on the bottom of the deck, and return the other two to the top of the deck in any order.	
Corrupt Land Agent	shurikensandsixguns	corrupt_land_agent_ssg	Character	Ascended	Pledged Flim-Flam Man	1	{asc}	{asc}	1	0	0	Common	corrupt land agent pledged flim flam man	Turn when an opponent plays a Site :: Gain 1 Power.	
