Name	Set	ImageFile	Type	Faction	Subtitle	Cost	Requires	Provides	Fighting	Power	Body	Rarity	Designators	Text	Script
Now You've Made Us Mad	standard	now_youve_made_us_mad_ltd_400	Event	Dragons	Event	0	{dra}{dra}		0	0	0	Uncommon	now you made us mad	Gain 1 Power for each of your characters that is damaged.	
$10,000 Man	standard	10000_man_ltd_400	Character	Jammers	Jury-Rigged Cyborg	4	{tek}	{jam}{tek}	6	0	0	Uncommon	10,000 man jury rigged cyborg	Toughness: 1. Cannot turn to heal.	
Abominable Lab	standard	abominable_lab_ltd_400	Site	Architects of the Flesh	Site	2		{arc}	0	1	5	Common	abominable lab	Abominable Lab provides you with one {tek} resource for each Buro or PubOrd character you control.	
Abominable Wave	standard	abominable_wave_ltd_400	Event	Architects of the Flesh	Event	1	{arc}{tek}		0	0	0	Common	abominable wave	Cancel and smoke a {chi} card.	
Abysmal Daughter	standard	abysmal_daughter_ltd_400	Character	Eaters of the Lotus	Vampiric Demon	4	{lot}{lot}{mag}	{lot}	1	0	0	Rare	abysmal daughter vampiric demon	Unique. Place one damage counter on a site of your choice whenever a character is smoked.	
Abysmal Horror	standard	abysmal_horror_ltd_400	Character	Eaters of the Lotus	Demon	3	{lot}{mag}	{lot}	4	0	0	Common	abysmal horror demon	Regenerates.	
Abysmal Spirit	standard	abysmal_spirit_ltd_400	Character	Eaters of the Lotus	Ghost Assassin	3	{lot}	{lot}{mag}	2	0	0	Uncommon	abysmal spirit ghost assassin	Assassinate.	
Adrienne Hart	standard	adrienne_hart_ltd_400	Character	Ascended	Pledged Martial Artist	4	{asc}{asc}{asc}{asc}	{asc}	8	0	0	Rare	adrienne hart pledged martial artist	Unique. No states may be played on Adrienne.	
Alabaster Javelin	standard	alabaster_javelin_ltd_400	State	Magic	State	1	{mag}		0	0	0	Uncommon	alabaster javelin	Weapon. If subject character is smoked, you may inflict 3 points of damage on any target in play.	
Alchemist's Lair	standard	alchemist_lair_ltd_400	Site	Chi	Site	2		{chi}{chi}	0	1	5	Common	alchemist lair		
Alpha Beast	standard	alpha_beast_ltd_400	Character	Architects of the Flesh	Abomination	2		{arc}	2	0	0	Very Common	alpha beast abomination		
Amulet of the Turtle	standard	amulet_of_the_turtle_ltd_400	State	Magic	State	1	{mag}		0	0	0	Uncommon	amulet turtle	Any damage inflicted on subject character is inflicted on Amulet of the Turtle instead. Amulet of the Turtle can sustain damage equal to your {mag} resources before being smoked.	
Ancestral Tomb	standard	ancestral_tomb_ltd_400	Site	Feng Shui Site	Feng Shui Site	0			0	1	5	Very Common	ancestral tomb	Ancestral Tomb's Body is increased by the number of characters in your smoked pile. While Ancestral Tomb has damage counters on it, it does not count toward fulfilling its controller's victory conditions.	
Ancient Grove	standard	ancient_grove_ltd_400	Site	Chi	Site	2		{chi}{chi}	0	1	5	Common	ancient grove		
Ancient Temple	standard	ancient_temple_ltd_400	Site	Feng Shui Site	Feng Shui Site	0			0	1	5	Very Common	ancient temple	Any character that is intercepted while attacking Ancient Temple inflicts no damage on Ancient Temple.	
Arcanotechnician	standard	arcanotechnician_ltd_400	Character	Architects of the Flesh	Buro Scientist	2	{arc}	{arc}{tek}{mag}	1	0	0	Uncommon	arcano technician buro scientist	Turn Arcanotechnician and toast a character in your smoked pile to return any card in your smoked pile to your hand.	
Arcanowave Pulse	standard	arcanowave_pulse_ltd_400	Event	Architects of the Flesh	Event	1	{arc}		0	0	0	Uncommon	arcano wave pulse	Cancel and smoke a {han} card.	
