Name	Set	ImageFile	Type	Faction	Subtitle	Cost	Requires	Provides	Fighting	Power	Body	Rarity	Designators	Text	Script
Andrea Van de Graaf	thronewar	andrea_van_de_graaf_tw	Character	Architects of the Flesh	Purist Sorceress	4	{arc}{arc}	{arc}{mag}	5	0	0	Rare	andrea van de graaf purist sorceress	Unique. During any player's Main Shot, you may play {mag} Events from your smoked pile at +1 cost. Toast any Event you play in this manner.	
Apes of Wrath	thronewar	apes_of_wrath_tw	Character	Jammers	Ornery Monkeys	3	{jam}{jam}{tek}	{jam}{tek}	3	0	0	Uncommon	ape wrath ornery monkey	When a card you control is smoked or burned by an opponent, Apes of Wrath gains +1 Fighting until it leaves play.	
Ba-BOOM!	thronewar	baboom_tw	Character	Jammers	Unstable Monkey	4	{jam}{jam}	{jam}{tek}	7	0	0	Rare	ba boom unstable monkey	Unique. Uncopyable. When Ba-BOOM! is smoked by an opponent, smoke all Characters and toast Ba-BOOM!	
Bandit Chief	thronewar	bandit_chief_tw	Character	Unaligned	Hood Scum	2			3	0	0	Uncommon	bandit chief hood scum	Bandit Chief inflicts no combat damage on Characters with Fighting higher than his Fighting.	
Bandit Hideout	thronewar	bandit_hideout_tw	Site	Unaligned	Battleground Site	0			0	0	5	Uncommon	bandit hideout battleground	If Bandit Hideout is in your front row, you may turn Bandit Hideout in response to the end of a successful attack you declared to gain 1 Power. You may not turn more than one Bandit Hideout in response to the same attack.	
Black Flag Rebels	thronewar	black_flag_rebels_tw	Character	Guiding Hand	Grim Supporters	2	{han}{han}	{han}	1	0	0	Common	black flag rebel grim supporter	All Rebel, Rabble and Bandit Characters you control gain +1 Fighting.	
Blade of Darkness	thronewar	blade_of_darkness_tw	Character	Four Monarchs	Netherworld Killer	4	{mon}{mon}	{mon}	6	0	0	Uncommon	blade darkness netherworld killer	When Blade of Darkness smokes an interceptor by inflicting combat damage, you gain Power equal to the number of resources that interceptor provides.	
Blue Monk	thronewar	blue_monk_tw	Character	Guiding Hand	Kung Fu Infiltrator	3	{han}	{han}{chi}	4	0	0	Uncommon	blue monk kung fu infiltrator	Choose a designator when Blue Monk enters play. Blue Monk cannot be intercepted by Characters with the chosen designator.	
Cave of a Thousand Banners	thronewar	cave_of_a_thousand_banners_tw	Site	Guiding Hand	Feng Shui Site	2	{han}{han}{han}	{han}	0	1	7	Uncommon	cave thousand banner	Unique. Play face up at the printed cost in your front row. When any Rebel or Rabble Character you control turns to attack, it gains +1 Fighting until the end of the turn.	
Competitive Intelligence	thronewar	competitive_intelligence_tw	Event	Ascended	Event	0	{asc}{asc}{asc}		0	0	0	Common	competitive intelligence	Sites may not be turned or revealed in response to Competitive Intelligence :: Look at any number of face-down Feng Shui Sites controlled by opponents. You may reveal and turn any of those Sites.	
Darkness Adept	thronewar	darkness_adept_tw	Character	Four Monarchs	Vicious Sorceress	2	{mon}	{mon}{mag}	2	0	0	Uncommon	darkness adept vicious sorceress	When any card is smoked, Darkness Adept gains +1 Fighting until the end of the turn.	
Darkness Priestess	thronewar	darkness_priestess_tw	Character	Four Monarchs	Netherworld Sorceress	1		{mon}{mag}	1	0	0	Common	darkness priestess netherworld sorceress	When any opponent sacrifices or toasts a card, you gain 1 Power.	
Demon Emperor	thronewar	demon_emperor_tw	Character	Eaters of the Lotus	Wicked Impersonator	4	{lot}{lot}{mag}	{lot}	6	0	0	Rare	demon emperor wicked impersonator	Unique. Regenerate. When Demon Emperor turns to attack, it gains Stealth until the end of the attack if any Demon Character you control turns to attack with it.	
Desolate Ridge	thronewar	desolate_ridge_tw	Site	Feng Shui Site	Feng Shui Site	0			0	1	6	Uncommon	desolate ridge	Limited. Turn in response to an Event to inflict 2 damage on target Site or Character controlled by the player who played that Event.	
Die!!!	thronewar	die_tw	Event	Eaters of the Lotus	Event	0	{lot}{lot}{lot}		0	0	0	Uncommon	die	Turn X {lot} Characters you control to smoke any number of Characters controlled by opponents whose total printed cost is less than X+2. X may be zero.	
Discerning Fire	thronewar	discerning_fire_tw	Event	Magic	Event	X	{mag}{mag}		0	0	0	Common	discerning fire	Smoke X target cards that share a designator other than Netherworld. X must be greater than one. Power-generating Sites are not legal targets.	
