Name	Set	ImageFile	Type	Faction	Subtitle	Cost	Requires	Provides	Fighting	Power	Body	Rarity	Designators	Text	Script
Hammer Harrison	twofistedtales	hammer_harrison_2ft	Character	Ascended	Hood Bruiser	3		{asc}	3			Uncommon	hammer harrison hood bruiser	Unique. Takes no damage from Characters whose cost is less than 3.	
They Came Out of Nowhere!	twofistedtales	they_came_out_of_nowhere_2ft	Event	Purists	Event	0	{pur}{pur}					Common	they came out nowhere	Play during an attack. Your Characters gain Mobility until the end of the attack. You have an additional opportunity this attack to declare interceptors, after all other players have done so.	
Throw Me the Idol...	twofistedtales	throw_me_the_idol_2ft	Event	Ascended	Event	0	{asc}					Uncommon	throw me idol	Target opponent may allow you to gain 2 Power. If he or she does, give a Character that player controls +2 Fighting until it leaves play.	
Torch the Place!	twofistedtales	torch_the_place_2ft	Event	Jammers	Event	1	{jam}{jam}					Common	torch place	Play during an attack against a Site :: Inflict X damage on that Site. X= the number of Characters attacking it.	
You Fell Into My Trap!	twofistedtales	you_fell_into_my_trap_2ft	Event	Eaters of the Lotus	Event	0	{lot}					Common	you fell my trap	Play when an opponent declares an attack against a Site you control and you control no Characters :: Play a Character with a cost of 3 or less at no cost.	
Ape City	twofistedtales	ape_city_2ft	Site	Jammers	Jungle Site	1	{jam}	{jam}		1	8	Rare	ape city jungle	Unique. All Characters you control that are not <Monkey>, <Ape>, <Gorilla>, <Simian>, or <Chimp> inflict -1 damage.	
Athena	twofistedtales	athena_2ft	Character	Ascended	Reascended Owl Mastermind	4	{asc}{asc}{tek}{tek}	{asc}{tek}	3			Rare	athena reascended owl mastermind	Unique. Your hand size is increased by 3. +X Fighting. X= the number of {tek} in your pool.	
Aztec Mummy	twofistedtales	aztec_mummy_2ft	Character	Four Monarchs	Undead Guardian	3	{mon}{mag}	{mon}	4			Uncommon	aztec mummy undead guardian	Takes double damage from <Fire> cards. Turn a <Temple> or <Tomb> Site you control to give this card +1 Fighting until the end of the turn. Turn a <Priest> or <Priestess> Character you control to give this card Toughness: 1 until the end of the turn.	
Aztec Pyramid	twofistedtales	aztec_pyramid_2ft	Site	Feng Shui Site	Feng Shui Site					1	6	Uncommon	aztec pyramid	At the end of the turn, if this card is unturned and there is no coin on it, flip a coin and leave it on this card. At any time a player has to flip a coin, you may immediately remove the coin on this card, and its result is the result of the flip. Turn to remove the coin on this card.	
Bad Colonel	twofistedtales	bad_colonel_2ft	Character	Ascended	Pledged Hood Warlord	2	{asc}	{asc}	2			Uncommon	bad colonel pledged hood warlord	Turn and maintain to take control of a <Soldier> card. All <Soldiers> you control gain the designator <Hood> and +1 damage.	
Blitzkrieg	twofistedtales	blitzkrieg_2ft	Event	Architects of the Flesh	Event	1	{arc}{arc}					Uncommon	blitzkrieg	Limited. Unturn all attacking <Soldier> Characters.	
Booby Trap	twofistedtales	booby_trap_2ft	Event	Dragons	Event	1	{dra}					Common	booby trap	Play during an attack on a Site you control :: Inflict 3 non-combat damage on that Site and all Characters at its location.	
Booby-Trapped Tomb	twofistedtales	boobytrapped_tomb_2ft	Site	Feng Shui Site	Feng Shui Site					1	8	Common	booby trapped tomb	When this Site is revealed, you may inflict 3 damage on target Character at its location.	
Breath of the Dragon	twofistedtales	breath_of_the_dragon_2ft	Event	Guiding Hand	Event	1	{han}{chi}{chi}{chi}					Common	breath dragon	Limited. Until the end of the turn, target attacker gains Toughness: 2 and +3 damage.	
Bullwhip	twofistedtales	bullwhip_2ft	State	Dragons	State	1	{dra}					Common	bullwhip	Limited. Weapon. Subject Character gains +1 damage while this is unturned. Turn to turn a Character at subject's location; that Character ceases intercepting.	
Captain Jake Molloy	twofistedtales	captain_jake_molloy_2ft	Character	Dragons	Daredevil Pilot	4	{dra}{dra}{dra}	{dra}	6			Rare	captain jake molloy daredevil pilot	Unique. Guts. Mobility. When he is targeted by a non-Character card, you may discard a card of the same type to cancel the effect targeting him.	
Carmen Zhou	twofistedtales	carmen_zhou_2ft	Character	Guiding Hand	Leader of the Swords of Heaven	2	{han}{han}	{han}{chi}	2			Uncommon	carmen zhou leader sword heaven	Unique. Gains +1 Fighting until she leaves play when a Feng Shui Site is revealed.	
Casbah	twofistedtales	casbah_2ft	Site	Unaligned	Site	2				1	5	Uncommon	casbah	If this Site is in your front row when an opponent plays a 0-cost Event, you may steal 1 Power from him or her.	
Chang	twofistedtales	chang_2ft	Character	Eaters of the Lotus	Red Scorpion Hood Martial Artist	5	{lot}{lot}	{lot}{chi}	7			Rare	chang red scorpion hood martial artist	Unique. When he is damaged, you may inflict 1 damage on any Character at his location. When he smokes a Character by inflicting combat damage, remove X damage from him. X= half (round up) the cost of the smoked Character.	
Charge of the Righteous	twofistedtales	charge_of_the_righteous_2ft	Edge	Guiding Hand	Edge	0	{han}{han}					Uncommon	charge righteous	Limited. Put a counter on this card when an attacker you control is smoked. Turn and remove all counters to give an attacker +X Fighting until the end of the turn. X= the number of counters removed.	
Cliffhanger	twofistedtales	cliffhanger_2ft	Event	Dragons	Event	0	{dra}{dra}					Uncommon	cliffhanger	Limited. Play when a Unique Character you control that requires resources is smoked by an opponent. Cut your deck and reveal the top card. You may play it at no cost, regardless of type.	
Colonel Wilhelm Reiger	twofistedtales	colonel_wilhelm_reiger_2ft	Character	Architects of the Flesh	Buro Agent	2	{arc}{arc}	{arc}{tek}	2			Rare	colonel wilhelm reiger buro agent	Unique. All <Battleground> Sites you control gain Toughness: 1. Turn a <Battleground> Site you control to give target <Soldier> Character +2 Fighting until the end of the turn.	
Curse of Itzcoliuhqui	twofistedtales	curse_of_itzcoliuhqui_2ft	State	Four Monarchs	Darkness State	0	{mon}{mag}					Common	curse itzcoliuhqui darkness	Subject Character inflicts -1 damage. When subject is declared as an attacker or interceptor, its controller must discard one card at random.	
Damsel in Distress	twofistedtales	damsel_in_distress_2ft	Event	Dragons	Event	1	{dra}					Uncommon	damsel distress	Faceoff. Turn a Character you control and target an opponent's Character with Fighting no lower than two less than yours. The winner may return a Character with a cost of 3 or less from his or her smoked pile to play.	
David Maxwell	twofistedtales	david_maxwell_2ft	Character	Dragons	Man About Town	2	{dra}{dra}{dra}	{dra}	2			Uncommon	david maxwell man about town	Unique. Generates one Power during your Establishing Shot. Immediately return"The Nemesis"to its owner's hand when this card enters play.	
Deadly Hands	twofistedtales	deadly_hands_2ft	State	Guiding Hand	Kung Fu State	1	{han}{han}					Common	deadly hand kung fu	Play on a Character. Discard a card :: Subject gains +1 Fighting until the end of the turn.	
Deathtrap	twofistedtales	deathtrap_2ft	State	Eaters of the Lotus	State	1	{lot}					Common	deathtrap	When any Character enters combat with subject Site, inflict 1 damage on that Character. (Before combat damage is dealt.)	
Difficulty at the Beginning	twofistedtales	difficulty_at_the_beginning_2ft	Event	Guiding Hand	Event	1	{han}					Uncommon	difficulty beginning	Play when an opponent plays a card :: Toast that card. That opponent may pay 1 Power in response to cancel this card.	
Disguise Kit	twofistedtales	disguise_kit_2ft	State	High Tech	State	0	{tek}					Uncommon	disguise kit	Play on a non-Unique Character that requires no resources. Characters that require resources cannot intercept subject.	
Disintegrator Ray	twofistedtales	disintegrator_ray_2ft	State	High Tech	State	1	{tek}{tek}					Uncommon	disintegrator ray	Weapon. Subject Character gains +1 Fighting. If subject smokes a Character by inflicting damage, toast that Character instead.	
Dr. Amanda Snow	twofistedtales	dr_amanda_snow_2ft	Character	Dragons	Treasure Hunter	4	{dra}{dra}{dra}	{dra}	6			Rare	dr amanda snow treasure hunter	Unique. Guts. Not affected by effects generated by opponents' Sites, and takes no damage from them. Once per turn, you may play a State on her from any player's smoked pile, ignoring resource conditions.	
Dr. Ivan Vasilovich	twofistedtales	dr_ivan_vasilovich_2ft	Character	Jammers	Mad Scientist	3	{jam}{jam}{jam}	{jam}{tek}	4			Rare	dr ivan vasilovich mad scientist	Unique. Heal all {jam} Characters when he enters play. Turn to gain 2 Power when an opponent plays an Event.	
Dr. Klaus Herrbruck	twofistedtales	dr_klaus_herrbruck_2ft	Character	Architects of the Flesh	CDCA Scientist	1	{arc}{arc}	{arc}{tek}	1			Rare	dr klaus herrbruck cdca scientist	Unique. All non-Character, non-Site {tek} cards in your smoked pile have Reload: 1.	
Drugged!	twofistedtales	drugged_2ft	State	Eaters of the Lotus	State	0	{lot}{lot}					Common	drugged	Subject Character inflicts -2 damage. Damage inflicted on subject cannot be reduced.	
Eisenriese	twofistedtales	eisenriese_2ft	State	Architects of the Flesh	State	2	{arc}{tek}{tek}					Common	eisenriese	Vehicle. Subject Character gains +1 Fighting, Toughness: 1, and +3 damage to Sites.	
Electro-Gauntlet	twofistedtales	electrogauntlet_2ft	State	High Tech	State	0	{tek}					Common	electro gauntlet	Weapon. Play on a Character. This card enters play with 1 counter on it. Put 1 counter on this card at the start of your turn. Turn to put 1 counter on this card. Turn and remove X counters to give subject +X damage until the end of the turn.	
Elsa Winterhagen	twofistedtales	elsa_winterhagen_2ft	Character	Architects of the Flesh	Supersoldier	6	{arc}{arc}	{arc}	10			Rare	elsa winterhagen super soldier	Unique. You may inflict 3 damage on this card, which cannot be reduced or redirected, to redirect all damage that would be inflicted on her by a single source to any Character that is not the source of the damage.	
