Name	Set	ImageFile	Type	Faction	Subtitle	Cost	Requires	Provides	Fighting	Power	Body	Rarity	Designators	Text	Script
.44 Kincaid Magnum	yearofthegoat	44_kincaid_magnum_yotg	State	Unaligned											
A Clockwork Orangutan	yearofthegoat	a_clockwork_orangutan_yotg	Character	Jammers											
Agency Support	yearofthegoat	agency_support_yotg	Edge	Ascended											
Agent Provocateur	yearofthegoat	agent_provocateur_yotg	Character	Ascended											
Aimee Sprigg	yearofthegoat	aimee_sprigg_yotg	Character	Jammers											
Aleut Herbalist	yearofthegoat	aleut_herbalist_yotg	Character	Four Monarchs											
Alfar	yearofthegoat	alfar_yotg	Character	Four Monarchs											
Ancestral River Home	yearofthegoat	ancestral_river_home_yotg	Site	Feng Shui Site											
Ancient Lineage	yearofthegoat	ancient_lineage_yotg	Edge	Four Monarchs											
Angie Dao	yearofthegoat	angie_dao_yotg	Character	Dragons											
Arcane Vault	yearofthegoat	arcane_vault_yotg	Site	Feng Shui Site											
Austere Monks	yearofthegoat	austere_monks_yotg	Character	Guiding Hand											
Ba Jiao Gui	yearofthegoat	ba_jiao_gui_yotg	Character	Eaters of the Lotus											
Balancing Stones	yearofthegoat	balancing_stones_yotg	Site	Feng Shui Site											
Barbarian	yearofthegoat	barbarian_yotg	Character	Four Monarchs											
Baxter's Irregulars	yearofthegoat	baxters_irregulars_yotg	Character	Dragons											
Bear Market	yearofthegoat	bear_market_yotg	Event	Ascended											
Betrayers of the Crane	yearofthegoat	betrayers_of_the_crane_yotg	Character	Ascended											
Blue Flower Society	yearofthegoat	blue_flower_society_yotg	Character	Guiding Hand											
Board of Punishments	yearofthegoat	board_of_punishments_yotg	Character	Eaters of the Lotus											
Bountiful Master	yearofthegoat	bountiful_master_yotg	Character	Guiding Hand											
Buddhist Bellringer	yearofthegoat	buddhist_bellringer_yotg	Character	Guiding Hand											
Bustling Metro Station	yearofthegoat	bustling_metro_station_yotg	Site	Feng Shui Site											
Campaign Manager	yearofthegoat	campaign_manager_yotg	Character	Ascended											
Cargo Plane	yearofthegoat	cargo_plane_yotg	State	Unaligned											
Cat Stance	yearofthegoat	cat_stance_yotg	Event	Chi											
Charnel Ground	yearofthegoat	charnel_ground_yotg	Site	Feng Shui Site											
Cheap Baboon Trick	yearofthegoat	cheap_baboon_trick_yotg	Event	Jammers											
Chi Bomb	yearofthegoat	chi_bomb_yotg	Event	Jammers											
Christopher Colobus	yearofthegoat	christopher_colobus_yotg	Character	Jammers											
Chthonian Lake	yearofthegoat	chthonian_lake_yotg	Site	Feng Shui Site											
Chun Qi Shuan	yearofthegoat	chun_qi_shuan_yotg	Character	Dragons											
City Hall	yearofthegoat	city_hall_yotg	Site	Ascended											
Clueless Heroes	yearofthegoat	clueless_heroes_yotg	Character	Dragons											
Commander Roger Keyes	yearofthegoat	commander_roger_keyes_yotg	Character	Ascended											
Contract Assassin	yearofthegoat	contract_assassin_yotg	Character	Ascended											
Coordinated Sabotage	yearofthegoat	coordinated_sabotage_yotg	Event	Jammers											
Corners of the Mouth	yearofthegoat	corners_of_the_mouth_yotg	Event	Guiding Hand											
Craft and Might	yearofthegoat	craft_and_might_yotg	Event	Four Monarchs											
Damned Dirty Apes	yearofthegoat	damned_dirty_apes_yotg	Character	Jammers											
Death Masque	yearofthegoat	death_masque_yotg	State	Magic											
Desolate Mountain	yearofthegoat	desolate_mountain_yotg	Site	Feng Shui Site											
Disgruntled Techie	yearofthegoat	disgruntled_techie_yotg	Character	Jammers											
Double Feature	yearofthegoat	double_feature_yotg	Event	Dragons											
Ejector Seat Malfunction	yearofthegoat	ejector_seat_malfunction_yotg	Event	High Tech											
Empire of Evil	yearofthegoat	empire_of_evil_yotg	Edge	Eaters of the Lotus											
Exo Skeleton	yearofthegoat	exo_skeleton_yotg	State	High Tech											
Extortion	yearofthegoat	extortion_yotg	Edge	Ascended											
Eyes of the Magpie	yearofthegoat	eyes_of_the_magpie_yotg	Character	Ascended											
Faith in the Halls of Power	yearofthegoat	faith_in_the_halls_of_power_yotg	Edge	Ascended											
Familiar Spirit	yearofthegoat	familiar_spirit_yotg	State	Magic											
Fire Breather	yearofthegoat	fire_breather_yotg	Character	Four Monarchs											
Fireworks Display	yearofthegoat	fireworks_display_yotg	Event	Jammers											
Frenzy	yearofthegoat	frenzy_yotg	State	Four Monarchs											
Full Metal Nutball	yearofthegoat	full_metal_nutball_yotg	Character	Jammers											
Gao Family Banquet Hall	yearofthegoat	gao_family_banquet_hall_yotg	Site	Feng Shui Site											
Garden of Eternal Spring	yearofthegoat	garden_of_eternal_spring_yotg	Site	Chi											
Grave Robbers	yearofthegoat	grave_robbers_yotg	Character	Eaters of the Lotus											
Grease Shack	yearofthegoat	grease_shack_yotg	Site	Dragons											
Guerilla Nihilists	yearofthegoat	guerilla_nihilists_yotg	Character	Jammers											
Harati	yearofthegoat	harati_yotg	Character	Eaters of the Lotus											
